1, 2, 4, 8, 16, 32
0.102229, 0.0803376, 0.0473527, 0.0318596, 0.0145572, 0.0128433, 
0.13296, 0.0895116, 0.0535696, 0.0249825, 0.0203449, 0.0211467, 
0.114188, 0.0943142, 0.0421211, 0.028851, 0.0197513, 0.0221784, 
0.146421, 0.129896, 0.0460801, 0.0267771, 0.020494, 0.0122476, 
0.144124, 0.138709, 0.0606569, 0.0306444, 0.0212123, 0.0120655, 
0.155599, 0.143396, 0.0627268, 0.0308979, 0.0207225, 0.0104892, 
0.156541, 0.119423, 0.0517422, 0.0266238, 0.0200911, 0.0094365, 
0.11349, 0.0978299, 0.0513759, 0.0358655, 0.0216316, 0.0128406, 
0.134143, 0.131351, 0.0582743, 0.0267656, 0.0210724, 0.0097865, 
0.136285, 0.102742, 0.0521247, 0.0280223, 0.0191047, 0.0090513, 
0.146693, 0.107788, 0.0573545, 0.0266568, 0.0166976, 0.0076787, 
0.19223, 0.149017, 0.0630322, 0.0305547, 0.014417, 0.0084664, 
0.20105, 0.134839, 0.0708804, 0.0245779, 0.0173109, 0.0064191, 
0.161697, 0.137014, 0.050599, 0.0203623, 0.0097524, 0.0045219, 
0.107333, 0.0853089, 0.0449375, 0.0134941, 0.0067739, 0.004217, 
0.0997732, 0.0849159, 0.0280207, 0.0109837, 0.0063841, 0.0060881, 
0.111717, 0.067552, 0.0238175, 0.01358, 0.0062224, 0.003581, 
0.119826, 0.0675917, 0.0270538, 0.0117824, 0.0073983, 0.0028611, 
