 ; 1; 2; 4; 8; 16; 32
1; 0.131693; 0.0835655; 0.0415039; 0.0272346; 0.0245816; 0.0126904; 
2; 0.14252; 0.0734039; 0.0375221; 0.0282927; 0.0198957; 0.0081629; 
3; 0.159849; 0.0693659; 0.03978; 0.0299496; 0.0218939; 0.007973; 
4; 0.177416; 0.0966014; 0.0537863; 0.0272139; 0.0241059; 0.0165265; 
5; 0.141877; 0.145743; 0.0355654; 0.0297265; 0.0193312; 0.0172478; 
6; 0.123793; 0.0815632; 0.042325; 0.0267986; 0.0239047; 0.0109631; 
7; 0.136056; 0.0731247; 0.067181; 0.0298023; 0.021384; 0.009853; 
8; 0.205509; 0.0660004; 0.0468114; 0.0306896; 0.0267698; 0.0225176; 
9; 0.145977; 0.0744279; 0.0402354; 0.0263641; 0.0176417; 0.0093658; 
10; 0.12667; 0.070108; 0.0406725; 0.0337408; 0.021319; 0.0075222; 
11; 0.163389; 0.0675659; 0.037761; 0.026924; 0.0139739; 0.0047957; 
12; 0.176072; 0.0896656; 0.0465752; 0.0269589; 0.01036; 0.0052158; 
13; 0.135353; 0.0824809; 0.0371445; 0.0185002; 0.0097866; 0.0043611; 
14; 0.127562; 0.0746343; 0.0322528; 0.0155272; 0.0162632; 0.0048365; 
15; 0.137399; 0.0677408; 0.0369949; 0.0147216; 0.0071578; 0.0036849; 
16; 0.207043; 0.0672385; 0.0289351; 0.0154628; 0.0073914; 0.0038393; 
17; 0.117518; 0.0859705; 0.028436; 0.0177373; 0.008164; 0.00374; 
18; 0.216024; 0.0654499; 0.0290842; 0.0188255; 0.0082197; 0.0041978; 
