bits;1;2;4;8;16;32
1;9.27402;17.3925;34.4303;63.3056;57.2767;57.6666;
2;9.78922;18.5386;35.2865;34.0089;62.4276;53.5656;
3;8.44625;18.9362;33.8477;59.7315;44.7169;44.4452;
4;9.58056;19.398;34.2594;37.7022;59.5648;59.4869;
5;9.92355;18.7158;35.0541;49.7964;56.2545;61.3826;
6;9.89377;19.2471;34.5663;33.384;43.7425;60.9469;
7;9.50448;18.3611;35.5158;63.077;57.3043;59.6911;
8;9.82891;19.3046;35.1973;55.2025;59.1305;59.9488;
9;9.6346;19.0214;35.584;61.0728;57.6637;54.974;
10;9.80661;18.904;35.7324;62.0352;58.0092;53.367;
11;9.82755;18.8292;35.0449;56.7899;52.4829;50.0217;
12;9.6733;18.7903;35.3187;41.0263;46.1022;45.6883;
13;9.32394;17.9922;33.5068;47.2096;40.2336;31.4655;
14;9.57083;18.3548;23.3437;27.2568;29.9331;17.1217;
15;8.94747;17.1891;25.9035;24.9998;16.8459;9.67771;
16;9.25908;15.3559;18.7977;14.6595;8.57465;4.63075;
17;8.42892;12.8911;12.602;8.36886;4.38027;2.21239;
18;7.25069;8.4712;7.18586;3.97346;2.18018;1.1395;
