Threads;Hash_Bits;Running Time (ms)
1;1;1449
2;1;2577
4;1;1510
8;1;1697
16;1;2344
32;1;2095
1;2;882
2;2;2310
4;2;1753
8;2;1726
16;2;1980
32;2;1118
1;3;623
2;3;1932
4;3;1501
8;3;1329
16;3;1282
32;3;1125
1;4;1220
2;4;1465
4;4;1930
8;4;2717
16;4;2088
32;4;1256
1;5;870
2;5;1461
4;5;3794
8;5;1689
16;5;597
32;5;523
1;6;1232
2;6;1406
4;6;1021
8;6;880
16;6;725
32;6;384
1;7;1488
2;7;1285
4;7;871
8;7;644
16;7;513
32;7;425
1;8;831
2;8;1205
4;8;757
8;8;473
16;8;371
32;8;305
1;9;1372
2;9;1170
4;9;702
8;9;443
16;9;335
32;9;261
1;10;1532
2;10;1171
4;10;734
8;10;467
16;10;337
32;10;292
1;11;916
2;11;1233
4;11;784
8;11;593
16;11;467
32;11;369
1;12;1669
2;12;1333
4;12;892
8;12;695
16;12;602
32;12;447
1;13;1117
2;13;1443
4;13;999
8;13;904
16;13;791
32;13;639
1;14;1942
2;14;1582
4;14;1041
8;14;993
16;14;859
32;14;776
1;15;2210
2;15;1653
4;15;1085
8;15;853
16;15;992
32;15;899
1;16;1815
2;16;1640
4;16;1114
8;16;998
16;16;910
32;16;811
1;17;2854
2;17;1939
4;17;1131
8;17;1018
16;17;846
32;17;699
1;18;3468
2;18;1989
4;18;1119
8;18;967
16;18;907
32;18;668
1;19;3428
2;19;1716
4;19;1007
8;19;899
16;19;792
32;19;807
1;20;3225
2;20;2231
4;20;1678
8;20;1133
16;20;1248
32;20;2364
1;21;3787
2;21;2311
4;21;1081
8;21;864
16;21;771
32;21;560
1;22;2270
2;22;2376
4;22;1312
8;22;1042
16;22;915
32;22;615
