Threads;Hash_Bits;Running Time (ms)
1;1;213
2;1;354
4;1;510
8;1;616
1;2;342
2;2;389
4;2;393
8;2;390
1;3;329
2;3;295
4;3;297
8;3;279
1;4;343
2;4;278
4;4;205
8;4;178
1;5;273
2;5;228
4;5;206
8;5;133
1;6;286
2;6;224
4;6;151
8;6;101
1;7;244
2;7;204
4;7;155
8;7;106
1;8;267
2;8;199
4;8;132
8;8;77
1;9;242
2;9;217
4;9;126
8;9;81
1;10;262
2;10;239
4;10;133
8;10;79
1;11;290
2;11;211
4;11;131
8;11;74
1;12;293
2;12;214
4;12;140
8;12;86
1;13;340
2;13;210
4;13;149
8;13;100
1;14;375
2;14;232
4;14;149
8;14;86
1;15;457
2;15;296
4;15;148
8;15;112
1;16;535
2;16;401
4;16;177
8;16;139
1;17;736
2;17;474
4;17;240
8;17;167
1;18;1034
2;18;628
4;18;347
8;18;232
1;19;1230
2;19;775
4;19;433
8;19;270
1;20;1265
2;20;836
4;20;466
8;20;325
1;21;1256
2;21;828
4;21;490
8;21;374
1;22;1229
2;22;773
4;22;448
8;22;276
1;23;1164
2;23;720
4;23;435
8;23;252
1;24;1099
2;24;775
4;24;433
8;24;267
1;25;1175
2;25;714
4;25;432
8;25;261
1;26;1263
2;26;803
4;26;479
8;26;259
