 ; 1; 2; 4; 8; 16; 32
1; 0.134395; 0.0716464; 0.0448295; 0.0318069; 0.020648; 0.021593; 
2; 0.141486; 0.08755; 0.0423805; 0.0282188; 0.027232; 0.0203728; 
3; 0.183086; 0.0821642; 0.0357364; 0.0292629; 0.0246681; 0.0156279; 
4; 0.12128; 0.0673942; 0.0393106; 0.0287206; 0.0209474; 0.0195502; 
5; 0.224818; 0.0802512; 0.0648562; 0.0280962; 0.021512; 0.0217562; 
6; 0.152458; 0.0802679; 0.0352579; 0.0271391; 0.0088787; 0.0104159; 
7; 0.156914; 0.0771429; 0.04942; 0.0303413; 0.0219; 0.0143374; 
8; 0.3365; 0.22752; 0.169632; 0.0812044; 0.0556009; 0.0214155; 
9; 0.437696; 0.293734; 0.149463; 0.0881329; 0.0501562; 0.0550697; 
10; 0.414121; 0.228632; 0.180007; 0.0987423; 0.053896; 0.0247243; 
11; 0.437906; 0.218799; 0.132514; 0.0827515; 0.0457134; 0.0228215; 
12; 0.434312; 0.24663; 0.164284; 0.0757508; 0.0379875; 0.0200095; 
13; 0.420741; 0.23676; 0.16269; 0.0740022; 0.0367246; 0.014532; 
14; 0.412421; 0.267869; 0.14494; 0.054718; 0.0251293; 0.0144072; 
15; 0.457827; 0.214051; 0.139069; 0.0577734; 0.0309784; 0.0141239; 
16; 0.421294; 0.204054; 0.0358643; 0.0177134; 0.0103612; 0.0040971; 
17; 0.184295; 0.0652327; 0.0312595; 0.0159477; 0.008628; 0.0041554; 
18; 0.21703; 0.0884223; 0.0388235; 0.0164928; 0.0079497; 0.0066613; 
