Threads;Hash_Bits;Running Time (ms)
1;1;1233
2;1;725
4;1;400
8;1;229
16;1;154
32;1;163
1;2;1241
2;2;618
4;2;367
8;2;216
16;2;157
32;2;166
1;3;1229
2;3;624
4;3;355
8;3;208
16;3;148
32;3;132
1;4;1229
2;4;629
4;4;346
8;4;206
16;4;144
32;4;179
1;5;1222
2;5;624
4;5;342
8;5;199
16;5;172
32;5;210
1;6;612
2;6;623
4;6;335
8;6;243
16;6;226
32;6;288
1;7;1218
2;7;616
4;7;371
8;7;292
16;7;290
32;7;393
1;8;1229
2;8;640
4;8;439
8;8;394
16;8;408
32;8;488
1;9;1249
2;9;666
4;9;545
8;9;518
16;9;503
32;9;577
1;10;618
2;10;733
4;10;701
8;10;653
16;10;500
32;10;567
1;11;1324
2;11;788
4;11;884
8;11;721
16;11;621
32;11;567
1;12;737
2;12;903
4;12;974
8;12;790
16;12;720
32;12;520
1;13;1454
2;13;957
4;13;825
8;13;719
16;13;845
32;13;748
1;14;1050
2;14;974
4;14;1108
8;14;936
16;14;915
32;14;509
1;15;1719
2;15;1025
4;15;1173
8;15;1012
16;15;945
32;15;485
1;16;1928
2;16;1148
4;16;1307
8;16;1086
16;16;951
32;16;424
1;17;2187
2;17;1175
4;17;1318
8;17;976
16;17;873
32;17;469
1;18;2315
2;18;1384
4;18;1341
8;18;1232
16;18;1088
32;18;1386
1;19;2659
2;19;1449
4;19;1618
8;19;1150
16;19;1113
32;19;498
1;20;2704
2;20;1488
4;20;2062
8;20;1363
16;20;1021
32;20;469
1;21;2687
2;21;1639
4;21;2636
8;21;2108
16;21;1152
32;21;3791
1;22;2751
2;22;1962
4;22;2695
8;22;1433
16;22;1096
32;22;1236
