Threads;Hash_Bits;Running Time (ms)
1;1;254
2;1;144
4;1;87
8;1;50
1;2;300
2;2;153
4;2;68
8;2;44
1;3;191
2;3;152
4;3;76
8;3;44
1;4;189
2;4;101
4;4;76
8;4;40
1;5;192
2;5;147
4;5;77
8;5;55
1;6;187
2;6;164
4;6;84
8;6;42
1;7;165
2;7;154
4;7;81
8;7;42
1;8;195
2;8;119
4;8;65
8;8;71
1;9;231
2;9;108
4;9;89
8;9;69
1;10;210
2;10;131
4;10;75
8;10;50
1;11;202
2;11;200
4;11;78
8;11;51
1;12;207
2;12;123
4;12;81
8;12;85
1;13;251
2;13;191
4;13;134
8;13;77
1;14;285
2;14;129
4;14;144
8;14;90
1;15;355
2;15;276
4;15;171
8;15;123
1;16;381
2;16;322
4;16;219
8;16;170
1;17;427
2;17;409
4;17;302
8;17;145
1;18;634
2;18;503
4;18;301
8;18;114
1;19;790
2;19;552
4;19;272
8;19;85
1;20;887
2;20;558
4;20;186
8;20;106
1;21;956
2;21;495
4;21;241
8;21;91
1;22;838
2;22;427
4;22;188
8;22;99
1;23;859
2;23;369
4;23;209
8;23;91
1;24;836
2;24;405
4;24;251
8;24;119
1;25;961
2;25;519
4;25;300
8;25;155
1;26;1172
2;26;603
4;26;351
8;26;159
