Threads;Hash_Bits;Running Time (ms)
1;1;198
2;1;347
4;1;427
8;1;432
1;2;204
2;2;276
4;2;287
8;2;274
1;3;192
2;3;228
4;3;199
8;3;190
1;4;173
2;4;199
4;4;166
8;4;132
1;5;195
2;5;179
4;5;141
8;5;358
1;6;689
2;6;585
4;6;377
8;6;259
1;7;732
2;7;632
4;7;385
8;7;241
1;8;720
2;8;572
4;8;353
8;8;207
1;9;697
2;9;571
4;9;306
8;9;208
1;10;716
2;10;554
4;10;343
8;10;191
1;11;780
2;11;549
4;11;330
8;11;208
1;12;851
2;12;562
4;12;332
8;12;179
1;13;940
2;13;548
4;13;285
8;13;208
1;14;994
2;14;581
4;14;386
8;14;198
1;15;1092
2;15;603
4;15;470
8;15;196
1;16;1122
2;16;654
4;16;307
8;16;206
1;17;1056
2;17;674
4;17;373
8;17;241
1;18;1194
2;18;758
4;18;396
8;18;288
1;19;1368
2;19;788
4;19;471
8;19;300
1;20;1527
2;20;986
4;20;510
8;20;357
