timestamp, power.draw [W], temperature.gpu, memory.used [MiB]
2023/04/28 19:42:22.625, 73.46 W, 65, 0 MiB
2023/04/28 19:42:23.631, 80.35 W, 65, 0 MiB
2023/04/28 19:42:24.632, 78.60 W, 65, 0 MiB
2023/04/28 19:42:25.633, 79.48 W, 64, 3 MiB
2023/04/28 19:42:26.634, 79.21 W, 64, 3 MiB
2023/04/28 19:42:27.636, 78.84 W, 64, 3 MiB
2023/04/28 19:42:28.637, 78.71 W, 63, 3 MiB
2023/04/28 19:42:29.638, 78.44 W, 63, 3 MiB
2023/04/28 19:42:31.214, 78.21 W, 63, 3 MiB
2023/04/28 19:42:32.215, 78.13 W, 62, 3 MiB
2023/04/28 19:42:33.216, 77.86 W, 62, 3 MiB
2023/04/28 19:42:34.219, 16.30 W, 60, 3 MiB
2023/04/28 19:42:35.220, 16.48 W, 60, 3 MiB
2023/04/28 19:42:36.221, 16.51 W, 59, 3 MiB
2023/04/28 19:42:37.223, 16.45 W, 59, 3 MiB
2023/04/28 19:42:38.224, 16.22 W, 58, 3 MiB
2023/04/28 19:42:39.226, 16.15 W, 58, 3 MiB
2023/04/28 19:42:40.227, 15.95 W, 57, 3 MiB
2023/04/28 19:42:41.229, 16.08 W, 57, 3 MiB
2023/04/28 19:42:42.230, 15.87 W, 56, 3 MiB
2023/04/28 19:42:43.232, 16.07 W, 56, 3 MiB
2023/04/28 19:42:44.233, 16.20 W, 56, 3 MiB
2023/04/28 19:42:45.235, 73.88 W, 57, 538 MiB
2023/04/28 19:42:46.236, 73.83 W, 57, 928 MiB
2023/04/28 19:42:47.237, 238.01 W, 60, 1602 MiB
2023/04/28 19:42:48.239, 258.45 W, 62, 1602 MiB
2023/04/28 19:42:49.240, 257.75 W, 62, 1602 MiB
2023/04/28 19:42:50.242, 254.39 W, 63, 1602 MiB
2023/04/28 19:42:51.243, 258.52 W, 64, 1602 MiB
2023/04/28 19:42:52.245, 253.97 W, 64, 1602 MiB
2023/04/28 19:42:53.246, 252.13 W, 64, 1602 MiB
2023/04/28 19:42:54.248, 258.69 W, 65, 1602 MiB
2023/04/28 19:42:55.249, 254.90 W, 65, 1602 MiB
2023/04/28 19:42:56.250, 250.63 W, 66, 1602 MiB
2023/04/28 19:42:57.251, 216.42 W, 66, 1602 MiB
2023/04/28 19:42:58.253, 254.61 W, 66, 1602 MiB
2023/04/28 19:42:59.253, 252.26 W, 67, 1602 MiB
2023/04/28 19:43:00.254, 247.04 W, 67, 1602 MiB
2023/04/28 19:43:01.256, 255.49 W, 68, 1602 MiB
2023/04/28 19:43:02.257, 254.82 W, 68, 1602 MiB
2023/04/28 19:43:03.258, 220.12 W, 68, 1602 MiB
2023/04/28 19:43:04.260, 252.39 W, 69, 1602 MiB
2023/04/28 19:43:05.261, 251.72 W, 69, 1602 MiB
2023/04/28 19:43:06.262, 248.59 W, 70, 1602 MiB
2023/04/28 19:43:07.264, 252.97 W, 70, 1602 MiB
2023/04/28 19:43:08.266, 262.42 W, 70, 1602 MiB
2023/04/28 19:43:09.268, 257.67 W, 70, 1602 MiB
2023/04/28 19:43:10.270, 252.37 W, 71, 1602 MiB
2023/04/28 19:43:11.271, 259.85 W, 71, 1602 MiB
2023/04/28 19:43:12.272, 254.65 W, 71, 1602 MiB
2023/04/28 19:43:13.273, 257.52 W, 72, 1602 MiB
2023/04/28 19:43:14.276, 260.47 W, 72, 1602 MiB
2023/04/28 19:43:15.277, 260.32 W, 72, 1602 MiB
2023/04/28 19:43:16.278, 260.31 W, 72, 1602 MiB
2023/04/28 19:43:17.280, 250.81 W, 72, 1602 MiB
2023/04/28 19:43:18.281, 248.05 W, 71, 1602 MiB
2023/04/28 19:43:19.282, 243.75 W, 73, 1602 MiB
2023/04/28 19:43:20.285, 246.06 W, 73, 1602 MiB
2023/04/28 19:43:21.286, 256.20 W, 73, 1602 MiB
2023/04/28 19:43:22.287, 248.84 W, 74, 1602 MiB
2023/04/28 19:43:23.289, 258.73 W, 74, 1602 MiB
2023/04/28 19:43:24.290, 244.31 W, 74, 1602 MiB
2023/04/28 19:43:25.291, 243.19 W, 74, 1602 MiB
2023/04/28 19:43:26.294, 242.11 W, 74, 1602 MiB
2023/04/28 19:43:27.295, 244.48 W, 74, 1602 MiB
2023/04/28 19:43:28.296, 253.63 W, 74, 1602 MiB
2023/04/28 19:43:29.300, 255.99 W, 75, 1602 MiB
2023/04/28 19:43:30.301, 258.75 W, 74, 1602 MiB
2023/04/28 19:43:31.302, 245.76 W, 75, 1602 MiB
2023/04/28 19:43:32.304, 253.33 W, 75, 1602 MiB
2023/04/28 19:43:33.305, 260.37 W, 75, 1602 MiB
2023/04/28 19:43:34.307, 251.72 W, 75, 1602 MiB
2023/04/28 19:43:35.311, 263.22 W, 75, 1602 MiB
2023/04/28 19:43:36.312, 255.79 W, 76, 1602 MiB
2023/04/28 19:43:37.313, 254.63 W, 76, 1602 MiB
2023/04/28 19:43:38.314, 258.92 W, 76, 1602 MiB
2023/04/28 19:43:39.317, 249.61 W, 76, 1602 MiB
2023/04/28 19:43:40.318, 122.03 W, 74, 1602 MiB
2023/04/28 19:43:41.319, 249.41 W, 76, 1602 MiB
2023/04/28 19:43:42.320, 246.44 W, 76, 1602 MiB
2023/04/28 19:43:43.321, 255.85 W, 76, 1602 MiB
2023/04/28 19:43:44.322, 204.96 W, 75, 1602 MiB
2023/04/28 19:43:45.323, 258.76 W, 76, 1602 MiB
2023/04/28 19:43:46.326, 247.61 W, 76, 1602 MiB
2023/04/28 19:43:47.327, 242.70 W, 76, 1602 MiB
2023/04/28 19:43:48.328, 252.59 W, 76, 1602 MiB
2023/04/28 19:43:49.330, 258.43 W, 76, 1602 MiB
2023/04/28 19:43:50.331, 225.44 W, 76, 1602 MiB
2023/04/28 19:43:51.332, 246.79 W, 77, 1602 MiB
2023/04/28 19:43:52.335, 252.55 W, 76, 1602 MiB
2023/04/28 19:43:53.336, 252.25 W, 76, 1602 MiB
2023/04/28 19:43:54.337, 252.69 W, 77, 1602 MiB
2023/04/28 19:43:55.339, 253.66 W, 77, 1602 MiB
2023/04/28 19:43:56.340, 259.31 W, 77, 1602 MiB
2023/04/28 19:43:57.342, 251.22 W, 77, 1602 MiB
2023/04/28 19:43:58.345, 253.38 W, 77, 1602 MiB
2023/04/28 19:43:59.346, 251.86 W, 77, 1602 MiB
2023/04/28 19:44:00.347, 261.18 W, 77, 1602 MiB
2023/04/28 19:44:01.350, 247.24 W, 77, 1602 MiB
2023/04/28 19:44:02.351, 253.47 W, 77, 1602 MiB
2023/04/28 19:44:03.352, 249.92 W, 77, 1602 MiB
2023/04/28 19:44:04.353, 259.23 W, 77, 1602 MiB
2023/04/28 19:44:05.355, 251.03 W, 77, 1602 MiB
2023/04/28 19:44:06.356, 265.41 W, 77, 1602 MiB
2023/04/28 19:44:07.357, 255.60 W, 77, 1602 MiB
2023/04/28 19:44:08.358, 256.41 W, 77, 1602 MiB
2023/04/28 19:44:09.363, 253.06 W, 77, 1602 MiB
2023/04/28 19:44:10.364, 258.81 W, 77, 1602 MiB
2023/04/28 19:44:11.365, 256.89 W, 77, 1602 MiB
2023/04/28 19:44:12.366, 256.72 W, 78, 1602 MiB
2023/04/28 19:44:13.368, 126.16 W, 75, 1602 MiB
2023/04/28 19:44:14.369, 258.64 W, 77, 1602 MiB
2023/04/28 19:44:15.373, 250.99 W, 78, 1602 MiB
2023/04/28 19:44:16.374, 261.08 W, 78, 1602 MiB
2023/04/28 19:44:17.375, 247.56 W, 77, 1602 MiB
2023/04/28 19:44:18.377, 250.72 W, 77, 1602 MiB
2023/04/28 19:44:19.378, 257.91 W, 78, 1602 MiB
2023/04/28 19:44:20.379, 251.34 W, 78, 1602 MiB
2023/04/28 19:44:21.382, 247.73 W, 78, 1602 MiB
2023/04/28 19:44:22.383, 257.44 W, 78, 1602 MiB
2023/04/28 19:44:23.384, 252.27 W, 77, 1602 MiB
2023/04/28 19:44:24.385, 125.99 W, 76, 1602 MiB
2023/04/28 19:44:25.386, 257.32 W, 77, 1602 MiB
2023/04/28 19:44:26.387, 262.57 W, 77, 1602 MiB
2023/04/28 19:44:27.388, 248.62 W, 78, 1602 MiB
2023/04/28 19:44:28.393, 256.61 W, 78, 1602 MiB
2023/04/28 19:44:29.394, 253.80 W, 77, 1602 MiB
2023/04/28 19:44:30.395, 257.80 W, 78, 1602 MiB
2023/04/28 19:44:31.399, 259.64 W, 78, 1602 MiB
2023/04/28 19:44:32.400, 253.33 W, 78, 1602 MiB
2023/04/28 19:44:33.401, 263.04 W, 78, 1602 MiB
2023/04/28 19:44:34.403, 262.58 W, 78, 1602 MiB
2023/04/28 19:44:35.405, 126.46 W, 76, 1602 MiB
