timestamp, power.draw [W], temperature.gpu, memory.used [MiB]
2023/04/28 18:51:26.389, 71.17 W, 62, 0 MiB
2023/04/28 18:51:27.392, 77.71 W, 62, 0 MiB
2023/04/28 18:51:28.393, 77.18 W, 62, 0 MiB
2023/04/28 18:51:29.394, 77.56 W, 61, 0 MiB
2023/04/28 18:51:30.395, 77.36 W, 61, 3 MiB
2023/04/28 18:51:31.396, 77.17 W, 61, 3 MiB
2023/04/28 18:51:32.398, 77.00 W, 61, 190 MiB
2023/04/28 18:51:33.399, 76.73 W, 61, 790 MiB
2023/04/28 18:51:34.400, 76.51 W, 60, 1082 MiB
2023/04/28 18:51:35.401, 174.22 W, 62, 2092 MiB
2023/04/28 18:51:36.402, 172.32 W, 63, 2092 MiB
2023/04/28 18:51:37.403, 158.72 W, 64, 2092 MiB
2023/04/28 18:51:38.404, 193.46 W, 63, 2092 MiB
2023/04/28 18:51:39.405, 167.38 W, 64, 2092 MiB
2023/04/28 18:51:40.406, 195.32 W, 64, 2092 MiB
2023/04/28 18:51:41.407, 171.29 W, 65, 2092 MiB
2023/04/28 18:51:42.409, 221.99 W, 65, 2092 MiB
2023/04/28 18:51:43.411, 197.70 W, 65, 2092 MiB
2023/04/28 18:51:44.412, 167.75 W, 65, 2092 MiB
2023/04/28 18:51:45.413, 184.23 W, 66, 2092 MiB
2023/04/28 18:51:46.414, 192.30 W, 65, 2092 MiB
2023/04/28 18:51:47.416, 170.87 W, 66, 2092 MiB
2023/04/28 18:51:48.418, 228.48 W, 66, 2092 MiB
2023/04/28 18:51:49.419, 183.49 W, 66, 2092 MiB
2023/04/28 18:51:50.420, 179.43 W, 66, 2092 MiB
2023/04/28 18:51:51.423, 195.16 W, 67, 2092 MiB
2023/04/28 18:51:52.424, 209.30 W, 67, 2092 MiB
2023/04/28 18:51:53.425, 187.84 W, 66, 2092 MiB
2023/04/28 18:51:54.426, 193.83 W, 67, 2092 MiB
2023/04/28 18:51:55.428, 202.27 W, 67, 2092 MiB
2023/04/28 18:51:56.429, 200.85 W, 67, 2092 MiB
2023/04/28 18:51:57.430, 191.32 W, 67, 2092 MiB
2023/04/28 18:51:58.433, 182.17 W, 67, 2092 MiB
2023/04/28 18:51:59.434, 184.44 W, 68, 2092 MiB
2023/04/28 18:52:00.435, 187.16 W, 68, 2092 MiB
2023/04/28 18:52:01.437, 189.43 W, 68, 2092 MiB
2023/04/28 18:52:02.438, 199.20 W, 68, 2092 MiB
2023/04/28 18:52:03.439, 193.90 W, 68, 2092 MiB
2023/04/28 18:52:04.440, 176.95 W, 68, 2092 MiB
2023/04/28 18:52:05.441, 198.88 W, 68, 2092 MiB
2023/04/28 18:52:06.445, 171.00 W, 69, 2092 MiB
2023/04/28 18:52:07.446, 198.71 W, 68, 2092 MiB
2023/04/28 18:52:08.447, 187.12 W, 68, 2092 MiB
2023/04/28 18:52:09.448, 195.09 W, 69, 2092 MiB
2023/04/28 18:52:10.454, 199.80 W, 69, 2092 MiB
2023/04/28 18:52:11.455, 205.57 W, 69, 2092 MiB
2023/04/28 18:52:12.456, 191.17 W, 69, 2092 MiB
2023/04/28 18:52:13.457, 186.22 W, 69, 2092 MiB
2023/04/28 18:52:14.460, 198.34 W, 69, 2092 MiB
2023/04/28 18:52:15.461, 199.85 W, 70, 2092 MiB
2023/04/28 18:52:16.462, 198.59 W, 70, 2092 MiB
2023/04/28 18:52:17.464, 198.57 W, 70, 2092 MiB
2023/04/28 18:52:18.465, 201.77 W, 70, 2092 MiB
2023/04/28 18:52:19.466, 203.53 W, 70, 2092 MiB
2023/04/28 18:52:20.467, 203.43 W, 70, 2092 MiB
2023/04/28 18:52:21.470, 199.68 W, 70, 2092 MiB
2023/04/28 18:52:22.471, 203.18 W, 70, 2092 MiB
2023/04/28 18:52:23.472, 199.85 W, 70, 2092 MiB
2023/04/28 18:52:24.473, 199.62 W, 70, 2092 MiB
2023/04/28 18:52:25.474, 203.18 W, 70, 2092 MiB
2023/04/28 18:52:26.475, 182.80 W, 70, 2092 MiB
2023/04/28 18:52:27.476, 192.63 W, 70, 2092 MiB
2023/04/28 18:52:28.478, 198.27 W, 70, 2092 MiB
2023/04/28 18:52:29.479, 183.71 W, 70, 2092 MiB
2023/04/28 18:52:30.480, 201.31 W, 70, 2092 MiB
2023/04/28 18:52:31.483, 170.20 W, 70, 2092 MiB
2023/04/28 18:52:32.484, 199.04 W, 71, 2092 MiB
2023/04/28 18:52:33.485, 207.33 W, 71, 2092 MiB
2023/04/28 18:52:34.486, 203.74 W, 71, 2092 MiB
2023/04/28 18:52:35.487, 194.58 W, 71, 2092 MiB
2023/04/28 18:52:36.488, 190.80 W, 71, 2092 MiB
2023/04/28 18:52:37.491, 188.14 W, 71, 2092 MiB
2023/04/28 18:52:38.492, 178.63 W, 71, 2092 MiB
2023/04/28 18:52:39.493, 182.00 W, 71, 2092 MiB
2023/04/28 18:52:40.495, 179.41 W, 71, 2092 MiB
2023/04/28 18:52:41.496, 158.22 W, 70, 2092 MiB
2023/04/28 18:52:42.497, 207.86 W, 71, 2118 MiB
2023/04/28 18:52:43.498, 205.84 W, 71, 2118 MiB
2023/04/28 18:52:44.502, 193.91 W, 71, 2118 MiB
