epoch;step;loss_value;timestamp
epoch;step;loss_value;timestamp
0;99;2.3751313829422;2023-04-28 19:18:11
0;199;2.204162790775299;2023-04-28 19:18:22
0;299;2.1268475103378295;2023-04-28 19:18:32
1;99;1.9911294674873352;2023-04-28 19:18:45
1;199;1.9339944064617156;2023-04-28 19:18:52
1;299;1.9006585276126862;2023-04-28 19:19:01
2;99;1.7943073737621307;2023-04-28 19:19:11
2;199;1.7671221590042114;2023-04-28 19:19:20
2;299;1.7424303054809571;2023-04-28 19:19:25
3;99;1.6506994831562043;2023-04-28 19:19:37
3;199;1.6381917154788972;2023-04-28 19:19:46
3;299;1.6078517413139344;2023-04-28 19:19:55
4;99;1.5203279542922974;2023-04-28 19:20:10
4;199;1.495157653093338;2023-04-28 19:20:19
4;299;1.485244677066803;2023-04-28 19:20:27
5;99;1.3974091243743896;2023-04-28 19:20:40
5;199;1.3723290324211121;2023-04-28 19:20:45
5;299;1.3634938395023346;2023-04-28 19:20:53
6;99;1.2773332464694978;2023-04-28 19:21:03
6;199;1.2727591431140899;2023-04-28 19:21:07
6;299;1.2390153533220292;2023-04-28 19:21:12
7;99;1.1624836426973344;2023-04-28 19:21:24
7;199;1.156206760406494;2023-04-28 19:21:33
7;299;1.1231405568122863;2023-04-28 19:21:42
8;99;1.0663693630695343;2023-04-28 19:21:56
8;199;1.0508452427387238;2023-04-28 19:22:05
8;299;1.0194202357530593;2023-04-28 19:22:15
9;99;0.9624090659618377;2023-04-28 19:22:24
9;199;0.9612238490581513;2023-04-28 19:22:29
9;299;0.9142793577909469;2023-04-28 19:22:33
