timestamp, power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2023/05/05 17:48:11.244, 38.07 W, 37, 0 MiB, 40 %, 0 %
2023/05/05 17:48:12.250, 37.36 W, 36, 0 MiB, 0 %, 0 %
2023/05/05 17:48:13.254, 37.07 W, 36, 3 MiB, 0 %, 0 %
2023/05/05 17:48:14.258, 37.46 W, 36, 15 MiB, 0 %, 0 %
2023/05/05 17:48:15.266, 37.26 W, 35, 1059 MiB, 8 %, 0 %
2023/05/05 17:48:16.271, 36.87 W, 35, 1353 MiB, 3 %, 0 %
2023/05/05 17:48:17.276, 80.91 W, 35, 3805 MiB, 7 %, 0 %
2023/05/05 17:48:18.281, 256.15 W, 43, 6047 MiB, 98 %, 55 %
2023/05/05 17:48:19.286, 263.03 W, 44, 6047 MiB, 96 %, 55 %
2023/05/05 17:48:20.299, 258.64 W, 45, 6047 MiB, 93 %, 53 %
2023/05/05 17:48:21.313, 252.45 W, 45, 6047 MiB, 95 %, 55 %
2023/05/05 17:48:22.323, 181.38 W, 45, 6047 MiB, 92 %, 52 %
2023/05/05 17:48:23.334, 260.42 W, 46, 6047 MiB, 92 %, 52 %
2023/05/05 17:48:24.347, 254.69 W, 46, 6047 MiB, 93 %, 53 %
2023/05/05 17:48:25.357, 248.81 W, 47, 6047 MiB, 96 %, 56 %
2023/05/05 17:48:26.370, 249.19 W, 47, 6047 MiB, 95 %, 54 %
2023/05/05 17:48:27.378, 204.51 W, 46, 8829 MiB, 96 %, 28 %
2023/05/05 17:48:28.384, 213.65 W, 43, 8829 MiB, 12 %, 2 %
2023/05/05 17:48:29.394, 257.46 W, 47, 8829 MiB, 93 %, 53 %
2023/05/05 17:48:30.400, 255.58 W, 47, 8829 MiB, 95 %, 54 %
2023/05/05 17:48:31.405, 252.23 W, 47, 8829 MiB, 93 %, 53 %
2023/05/05 17:48:32.409, 245.68 W, 47, 8829 MiB, 93 %, 54 %
2023/05/05 17:48:33.415, 245.47 W, 48, 8829 MiB, 94 %, 55 %
2023/05/05 17:48:34.420, 192.68 W, 48, 8829 MiB, 91 %, 56 %
2023/05/05 17:48:35.425, 199.71 W, 48, 8829 MiB, 93 %, 57 %
2023/05/05 17:48:36.432, 248.71 W, 48, 8829 MiB, 94 %, 53 %
2023/05/05 17:48:37.436, 262.64 W, 48, 8829 MiB, 94 %, 53 %
2023/05/05 17:48:38.441, 191.41 W, 47, 8831 MiB, 100 %, 12 %
