timestamp, power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2023/05/07 23:17:57.775, 36.23 W, 31, 0 MiB, 40 %, 0 %
2023/05/07 23:17:58.780, 36.52 W, 30, 0 MiB, 0 %, 0 %
2023/05/07 23:17:59.785, 36.03 W, 30, 3 MiB, 0 %, 0 %
2023/05/07 23:18:00.789, 36.03 W, 30, 3 MiB, 0 %, 0 %
2023/05/07 23:18:01.793, 36.03 W, 30, 3 MiB, 0 %, 0 %
2023/05/07 23:18:02.798, 37.23 W, 30, 679 MiB, 6 %, 0 %
2023/05/07 23:18:03.802, 36.82 W, 29, 1081 MiB, 0 %, 0 %
2023/05/07 23:18:04.806, 36.10 W, 29, 1633 MiB, 5 %, 0 %
2023/05/07 23:18:05.812, 130.41 W, 32, 2501 MiB, 73 %, 17 %
2023/05/07 23:18:06.818, 152.88 W, 33, 2501 MiB, 49 %, 17 %
2023/05/07 23:18:07.825, 112.35 W, 33, 2501 MiB, 48 %, 17 %
2023/05/07 23:18:08.831, 150.95 W, 34, 2501 MiB, 49 %, 17 %
2023/05/07 23:18:09.838, 109.28 W, 34, 2501 MiB, 50 %, 18 %
2023/05/07 23:18:10.845, 150.92 W, 34, 2501 MiB, 49 %, 17 %
2023/05/07 23:18:11.852, 110.07 W, 34, 2501 MiB, 49 %, 17 %
2023/05/07 23:18:12.856, 142.70 W, 34, 2501 MiB, 49 %, 17 %
2023/05/07 23:18:13.860, 110.21 W, 34, 2501 MiB, 48 %, 17 %
2023/05/07 23:18:14.864, 149.30 W, 35, 2501 MiB, 48 %, 17 %
2023/05/07 23:18:15.868, 110.67 W, 35, 2501 MiB, 50 %, 18 %
2023/05/07 23:18:16.879, 156.25 W, 35, 2501 MiB, 40 %, 14 %
2023/05/07 23:18:17.887, 159.52 W, 35, 2501 MiB, 52 %, 19 %
2023/05/07 23:18:18.891, 161.65 W, 35, 2501 MiB, 51 %, 18 %
2023/05/07 23:18:19.896, 146.90 W, 35, 2501 MiB, 51 %, 18 %
2023/05/07 23:18:20.902, 120.94 W, 35, 2501 MiB, 51 %, 18 %
2023/05/07 23:18:21.906, 115.55 W, 36, 2501 MiB, 52 %, 18 %
2023/05/07 23:18:22.910, 112.36 W, 36, 2501 MiB, 54 %, 20 %
2023/05/07 23:18:23.915, 153.39 W, 36, 2501 MiB, 54 %, 20 %
2023/05/07 23:18:24.919, 120.79 W, 36, 2501 MiB, 53 %, 19 %
2023/05/07 23:18:25.924, 117.26 W, 36, 2501 MiB, 52 %, 19 %
2023/05/07 23:18:26.929, 116.86 W, 36, 2501 MiB, 51 %, 18 %
2023/05/07 23:18:27.933, 153.26 W, 36, 2501 MiB, 55 %, 20 %
2023/05/07 23:18:28.937, 112.34 W, 36, 2501 MiB, 52 %, 19 %
2023/05/07 23:18:29.941, 113.03 W, 36, 2501 MiB, 51 %, 18 %
2023/05/07 23:18:30.946, 154.00 W, 36, 2501 MiB, 53 %, 19 %
2023/05/07 23:18:31.950, 115.50 W, 36, 2501 MiB, 52 %, 19 %
2023/05/07 23:18:32.954, 142.77 W, 36, 2501 MiB, 53 %, 19 %
2023/05/07 23:18:33.959, 136.28 W, 36, 2501 MiB, 55 %, 20 %
2023/05/07 23:18:34.966, 110.93 W, 36, 2501 MiB, 52 %, 18 %
2023/05/07 23:18:35.970, 119.00 W, 36, 2501 MiB, 54 %, 20 %
2023/05/07 23:18:36.974, 155.59 W, 36, 2501 MiB, 55 %, 20 %
2023/05/07 23:18:37.979, 112.01 W, 36, 2501 MiB, 48 %, 17 %
2023/05/07 23:18:38.983, 126.59 W, 37, 2501 MiB, 55 %, 20 %
2023/05/07 23:18:39.987, 161.26 W, 37, 2501 MiB, 55 %, 20 %
2023/05/07 23:18:40.991, 141.78 W, 37, 2501 MiB, 55 %, 20 %
2023/05/07 23:18:41.997, 152.61 W, 37, 2501 MiB, 53 %, 19 %
2023/05/07 23:18:43.004, 115.40 W, 37, 2501 MiB, 52 %, 19 %
2023/05/07 23:18:44.009, 120.78 W, 37, 2501 MiB, 55 %, 21 %
2023/05/07 23:18:45.013, 57.25 W, 35, 7035 MiB, 18 %, 1 %
2023/05/07 23:18:46.017, 145.22 W, 36, 7035 MiB, 49 %, 18 %
2023/05/07 23:18:47.021, 107.02 W, 36, 7035 MiB, 48 %, 17 %
2023/05/07 23:18:48.025, 154.31 W, 36, 7035 MiB, 50 %, 18 %
2023/05/07 23:18:49.030, 108.23 W, 37, 7035 MiB, 49 %, 17 %
2023/05/07 23:18:50.035, 123.89 W, 37, 7035 MiB, 48 %, 17 %
2023/05/07 23:18:51.042, 151.79 W, 37, 7035 MiB, 51 %, 19 %
2023/05/07 23:18:52.048, 109.07 W, 37, 7035 MiB, 49 %, 17 %
2023/05/07 23:18:53.052, 129.39 W, 37, 7035 MiB, 50 %, 18 %
2023/05/07 23:18:54.056, 149.29 W, 37, 7035 MiB, 49 %, 18 %
2023/05/07 23:18:55.061, 115.50 W, 37, 7035 MiB, 56 %, 21 %
2023/05/07 23:18:56.065, 122.36 W, 37, 7035 MiB, 56 %, 20 %
2023/05/07 23:18:57.069, 135.13 W, 38, 7035 MiB, 57 %, 21 %
2023/05/07 23:18:58.073, 116.35 W, 37, 7035 MiB, 57 %, 21 %
2023/05/07 23:18:59.079, 160.98 W, 37, 7035 MiB, 56 %, 20 %
2023/05/07 23:19:00.084, 121.95 W, 37, 7035 MiB, 57 %, 21 %
2023/05/07 23:19:01.088, 142.67 W, 37, 7035 MiB, 56 %, 20 %
2023/05/07 23:19:02.092, 130.01 W, 38, 7035 MiB, 57 %, 20 %
2023/05/07 23:19:03.097, 152.13 W, 38, 7035 MiB, 57 %, 20 %
2023/05/07 23:19:04.101, 124.45 W, 38, 7035 MiB, 57 %, 21 %
2023/05/07 23:19:05.105, 160.70 W, 38, 7035 MiB, 57 %, 20 %
2023/05/07 23:19:06.110, 118.97 W, 38, 7035 MiB, 57 %, 21 %
2023/05/07 23:19:07.116, 161.19 W, 38, 7035 MiB, 57 %, 20 %
2023/05/07 23:19:08.122, 130.85 W, 38, 7035 MiB, 57 %, 21 %
2023/05/07 23:19:09.129, 123.52 W, 38, 7035 MiB, 57 %, 21 %
2023/05/07 23:19:10.135, 164.73 W, 38, 7035 MiB, 57 %, 20 %
2023/05/07 23:19:11.143, 110.57 W, 38, 7035 MiB, 57 %, 21 %
2023/05/07 23:19:12.150, 139.61 W, 38, 7035 MiB, 57 %, 21 %
2023/05/07 23:19:13.157, 164.98 W, 38, 7035 MiB, 57 %, 20 %
2023/05/07 23:19:14.164, 120.77 W, 38, 7035 MiB, 57 %, 21 %
2023/05/07 23:19:15.170, 138.10 W, 38, 7035 MiB, 57 %, 21 %
2023/05/07 23:19:16.179, 159.10 W, 38, 7035 MiB, 57 %, 20 %
2023/05/07 23:19:17.186, 119.68 W, 38, 7035 MiB, 57 %, 21 %
2023/05/07 23:19:18.192, 124.97 W, 38, 7035 MiB, 57 %, 20 %
2023/05/07 23:19:19.200, 162.60 W, 38, 7035 MiB, 57 %, 20 %
2023/05/07 23:19:20.207, 119.10 W, 38, 7035 MiB, 57 %, 21 %
2023/05/07 23:19:21.221, 125.39 W, 38, 7035 MiB, 57 %, 20 %
2023/05/07 23:19:22.226, 57.63 W, 36, 7035 MiB, 17 %, 5 %
