timestamp, power.draw [W], temperature.gpu, memory.used [MiB]
2023/04/28 18:43:04.775, 72.13 W, 63, 0 MiB
2023/04/28 18:43:05.782, 78.12 W, 63, 0 MiB
2023/04/28 18:43:06.783, 77.67 W, 63, 0 MiB
2023/04/28 18:43:07.784, 78.07 W, 62, 3 MiB
2023/04/28 18:43:08.786, 77.88 W, 62, 3 MiB
2023/04/28 18:43:09.787, 77.60 W, 62, 3 MiB
2023/04/28 18:43:10.788, 77.13 W, 61, 420 MiB
2023/04/28 18:43:11.789, 77.01 W, 61, 812 MiB
2023/04/28 18:43:12.790, 77.04 W, 61, 1448 MiB
2023/04/28 18:43:13.791, 259.20 W, 65, 1854 MiB
2023/04/28 18:43:14.792, 254.76 W, 66, 1854 MiB
2023/04/28 18:43:15.794, 187.76 W, 65, 1854 MiB
2023/04/28 18:43:16.795, 189.25 W, 65, 1854 MiB
2023/04/28 18:43:17.797, 188.03 W, 65, 1854 MiB
2023/04/28 18:43:18.798, 192.34 W, 66, 1854 MiB
2023/04/28 18:43:19.799, 204.98 W, 66, 1854 MiB
2023/04/28 18:43:20.800, 191.86 W, 66, 1854 MiB
2023/04/28 18:43:21.801, 187.70 W, 66, 1854 MiB
2023/04/28 18:43:22.802, 191.38 W, 66, 1854 MiB
2023/04/28 18:43:23.803, 190.81 W, 67, 1854 MiB
2023/04/28 18:43:24.805, 190.69 W, 66, 1854 MiB
2023/04/28 18:43:25.806, 188.26 W, 67, 1854 MiB
2023/04/28 18:43:26.807, 196.62 W, 67, 1854 MiB
2023/04/28 18:43:27.808, 190.72 W, 67, 1854 MiB
2023/04/28 18:43:28.809, 193.76 W, 68, 1854 MiB
2023/04/28 18:43:29.811, 189.15 W, 68, 1854 MiB
2023/04/28 18:43:30.812, 191.63 W, 68, 1854 MiB
2023/04/28 18:43:31.813, 192.04 W, 68, 1854 MiB
2023/04/28 18:43:32.815, 201.93 W, 68, 1854 MiB
2023/04/28 18:43:33.816, 190.93 W, 68, 1854 MiB
2023/04/28 18:43:34.817, 190.94 W, 69, 1854 MiB
2023/04/28 18:43:35.818, 201.88 W, 68, 1854 MiB
2023/04/28 18:43:36.819, 189.28 W, 69, 1854 MiB
2023/04/28 18:43:37.820, 190.00 W, 69, 1854 MiB
2023/04/28 18:43:38.824, 193.71 W, 69, 1854 MiB
2023/04/28 18:43:39.825, 189.31 W, 69, 1854 MiB
2023/04/28 18:43:40.826, 190.91 W, 69, 1854 MiB
2023/04/28 18:43:41.827, 201.06 W, 69, 1854 MiB
2023/04/28 18:43:42.828, 191.35 W, 69, 1854 MiB
2023/04/28 18:43:43.830, 195.01 W, 69, 1854 MiB
2023/04/28 18:43:44.831, 193.82 W, 70, 1854 MiB
2023/04/28 18:43:45.832, 194.71 W, 69, 1854 MiB
2023/04/28 18:43:46.833, 196.71 W, 70, 1854 MiB
2023/04/28 18:43:47.834, 194.84 W, 70, 1854 MiB
2023/04/28 18:43:48.835, 188.02 W, 69, 1854 MiB
2023/04/28 18:43:49.836, 189.31 W, 70, 1854 MiB
2023/04/28 18:43:50.837, 196.73 W, 70, 1854 MiB
2023/04/28 18:43:51.839, 193.22 W, 70, 1854 MiB
2023/04/28 18:43:52.840, 194.25 W, 70, 1854 MiB
2023/04/28 18:43:53.842, 193.39 W, 70, 1854 MiB
2023/04/28 18:43:54.843, 195.77 W, 71, 1854 MiB
2023/04/28 18:43:55.844, 196.02 W, 70, 1854 MiB
2023/04/28 18:43:56.845, 193.68 W, 71, 1854 MiB
2023/04/28 18:43:57.847, 198.82 W, 71, 1854 MiB
2023/04/28 18:43:58.848, 196.54 W, 70, 1854 MiB
2023/04/28 18:43:59.849, 147.46 W, 69, 1854 MiB
2023/04/28 18:44:00.850, 193.06 W, 71, 1854 MiB
2023/04/28 18:44:01.852, 192.29 W, 71, 1854 MiB
2023/04/28 18:44:02.853, 201.85 W, 70, 1854 MiB
2023/04/28 18:44:03.854, 189.70 W, 70, 1854 MiB
2023/04/28 18:44:04.855, 192.62 W, 70, 1854 MiB
2023/04/28 18:44:05.857, 197.72 W, 71, 1854 MiB
2023/04/28 18:44:06.858, 192.15 W, 71, 1854 MiB
2023/04/28 18:44:07.859, 194.03 W, 70, 1854 MiB
2023/04/28 18:44:08.860, 196.77 W, 71, 1854 MiB
2023/04/28 18:44:09.861, 194.49 W, 70, 1854 MiB
2023/04/28 18:44:10.862, 202.48 W, 71, 1854 MiB
2023/04/28 18:44:11.863, 193.74 W, 71, 1854 MiB
2023/04/28 18:44:12.864, 194.71 W, 71, 1854 MiB
2023/04/28 18:44:13.866, 192.64 W, 71, 1854 MiB
2023/04/28 18:44:14.867, 190.52 W, 71, 1854 MiB
2023/04/28 18:44:15.868, 162.98 W, 70, 1854 MiB
2023/04/28 18:44:16.869, 163.27 W, 70, 1854 MiB
2023/04/28 18:44:17.870, 156.67 W, 70, 1854 MiB
2023/04/28 18:44:18.871, 154.33 W, 69, 1854 MiB
2023/04/28 18:44:19.873, 155.63 W, 69, 1854 MiB
2023/04/28 18:44:20.874, 159.05 W, 69, 1854 MiB
2023/04/28 18:44:21.875, 159.52 W, 69, 1854 MiB
2023/04/28 18:44:22.876, 157.68 W, 69, 1854 MiB
2023/04/28 18:44:23.877, 157.39 W, 69, 1854 MiB
2023/04/28 18:44:24.878, 159.53 W, 69, 1854 MiB
2023/04/28 18:44:25.880, 186.55 W, 70, 1854 MiB
2023/04/28 18:44:26.881, 191.14 W, 70, 1854 MiB
2023/04/28 18:44:27.883, 187.90 W, 70, 1854 MiB
2023/04/28 18:44:28.884, 188.28 W, 70, 1854 MiB
2023/04/28 18:44:29.885, 151.75 W, 69, 1854 MiB
2023/04/28 18:44:30.886, 168.91 W, 69, 1854 MiB
2023/04/28 18:44:31.887, 191.78 W, 70, 1854 MiB
2023/04/28 18:44:32.890, 189.93 W, 70, 1854 MiB
2023/04/28 18:44:33.891, 242.86 W, 70, 1854 MiB
2023/04/28 18:44:34.892, 189.83 W, 70, 1854 MiB
2023/04/28 18:44:35.894, 188.51 W, 70, 1854 MiB
2023/04/28 18:44:36.895, 166.46 W, 69, 1854 MiB
2023/04/28 18:44:37.896, 158.47 W, 69, 1854 MiB
2023/04/28 18:44:38.898, 167.13 W, 69, 1854 MiB
2023/04/28 18:44:39.899, 165.69 W, 69, 1854 MiB
2023/04/28 18:44:40.900, 152.70 W, 69, 1854 MiB
2023/04/28 18:44:41.901, 154.30 W, 68, 1854 MiB
2023/04/28 18:44:42.902, 158.98 W, 68, 1854 MiB
2023/04/28 18:44:43.903, 157.11 W, 68, 1854 MiB
2023/04/28 18:44:44.907, 155.46 W, 68, 1854 MiB
2023/04/28 18:44:45.908, 175.10 W, 68, 1854 MiB
2023/04/28 18:44:46.909, 173.91 W, 68, 1854 MiB
2023/04/28 18:44:47.910, 160.75 W, 68, 1854 MiB
2023/04/28 18:44:48.911, 159.39 W, 68, 1854 MiB
2023/04/28 18:44:49.912, 169.74 W, 67, 1854 MiB
2023/04/28 18:44:50.914, 164.92 W, 68, 1854 MiB
2023/04/28 18:44:51.915, 92.09 W, 67, 1854 MiB
2023/04/28 18:44:52.918, 185.77 W, 68, 1854 MiB
2023/04/28 18:44:53.919, 187.68 W, 68, 1854 MiB
2023/04/28 18:44:54.921, 161.04 W, 68, 1854 MiB
2023/04/28 18:44:55.922, 152.66 W, 67, 1854 MiB
2023/04/28 18:44:56.923, 157.39 W, 67, 1854 MiB
2023/04/28 18:44:57.924, 161.31 W, 67, 1854 MiB
2023/04/28 18:44:58.925, 159.61 W, 67, 1854 MiB
2023/04/28 18:44:59.927, 157.88 W, 67, 1854 MiB
2023/04/28 18:45:00.928, 156.85 W, 67, 1854 MiB
2023/04/28 18:45:01.929, 154.05 W, 67, 1854 MiB
2023/04/28 18:45:02.930, 157.04 W, 67, 1854 MiB
2023/04/28 18:45:03.932, 153.70 W, 67, 1854 MiB
2023/04/28 18:45:04.933, 152.97 W, 66, 1854 MiB
2023/04/28 18:45:05.934, 152.91 W, 67, 1854 MiB
2023/04/28 18:45:06.935, 166.07 W, 67, 1854 MiB
2023/04/28 18:45:07.936, 181.09 W, 67, 1854 MiB
2023/04/28 18:45:08.939, 177.90 W, 67, 1854 MiB
2023/04/28 18:45:09.940, 158.13 W, 67, 1854 MiB
2023/04/28 18:45:10.941, 172.64 W, 67, 1854 MiB
2023/04/28 18:45:11.942, 189.12 W, 68, 1854 MiB
2023/04/28 18:45:12.943, 193.85 W, 68, 1854 MiB
2023/04/28 18:45:13.944, 187.47 W, 67, 1854 MiB
2023/04/28 18:45:14.945, 185.57 W, 67, 1854 MiB
2023/04/28 18:45:15.947, 192.93 W, 68, 1854 MiB
2023/04/28 18:45:16.948, 204.62 W, 68, 1854 MiB
2023/04/28 18:45:17.949, 192.59 W, 68, 1854 MiB
2023/04/28 18:45:18.950, 193.76 W, 68, 1854 MiB
2023/04/28 18:45:19.951, 191.72 W, 68, 1854 MiB
2023/04/28 18:45:20.952, 206.53 W, 69, 1854 MiB
2023/04/28 18:45:21.954, 188.82 W, 68, 1854 MiB
2023/04/28 18:45:22.955, 188.99 W, 69, 1854 MiB
2023/04/28 18:45:23.956, 188.27 W, 68, 1854 MiB
2023/04/28 18:45:24.957, 179.42 W, 69, 1854 MiB
2023/04/28 18:45:25.958, 205.91 W, 69, 1854 MiB
2023/04/28 18:45:26.960, 188.38 W, 69, 1854 MiB
2023/04/28 18:45:27.961, 191.96 W, 69, 1854 MiB
2023/04/28 18:45:28.962, 203.46 W, 69, 1854 MiB
2023/04/28 18:45:29.963, 188.09 W, 69, 1854 MiB
2023/04/28 18:45:30.964, 224.43 W, 69, 1854 MiB
2023/04/28 18:45:31.965, 196.75 W, 69, 1854 MiB
2023/04/28 18:45:32.966, 182.05 W, 69, 1854 MiB
2023/04/28 18:45:33.968, 191.89 W, 69, 1854 MiB
2023/04/28 18:45:34.970, 186.29 W, 69, 1854 MiB
