epoch;precision;recall;accuracy;f1;timestamp
0;0.315261151948417;0.2845334112112135;0.2854;0.28311790176807794;2023-05-08 02:44:10
1;0.35496854398618105;0.34105938661430735;0.3426;0.3352297105787914;2023-05-08 02:44:30
2;0.37601714931713637;0.3660161878663083;0.3666;0.3565742789430887;2023-05-08 02:44:51
3;0.3978790738880272;0.3906699297642788;0.3904;0.3790786373061151;2023-05-08 02:45:12
4;0.4160694146064223;0.4078020271526099;0.407;0.39639727603650227;2023-05-08 02:45:32
5;0.42192628092209505;0.41689602250604396;0.416;0.40765669534877774;2023-05-08 02:45:53
6;0.42683716229755186;0.42393794383008937;0.4234;0.416932009526095;2023-05-08 02:46:14
7;0.44035092180322843;0.43499254699103374;0.434;0.4252064763454448;2023-05-08 02:46:36
8;0.42791779289583864;0.4199617851750618;0.4194;0.41695902773722116;2023-05-08 02:46:57
9;0.4367924774945081;0.4274031250649464;0.4272;0.4262596698486436;2023-05-08 02:47:19
