timestamp, power.draw [W], temperature.gpu, memory.used [MiB]
2023/04/30 03:05:23.249, 34.13 W, 26, 0 MiB
2023/04/30 03:05:24.253, 34.23 W, 26, 0 MiB
2023/04/30 03:05:25.256, 34.13 W, 26, 0 MiB
2023/04/30 03:05:26.261, 34.13 W, 26, 0 MiB
2023/04/30 03:05:27.265, 34.13 W, 26, 0 MiB
2023/04/30 03:05:28.270, 34.23 W, 26, 0 MiB
2023/04/30 03:05:29.275, 34.13 W, 26, 0 MiB
2023/04/30 03:05:30.280, 34.13 W, 26, 0 MiB
2023/04/30 03:05:31.286, 34.23 W, 26, 0 MiB
2023/04/30 03:05:32.291, 34.23 W, 26, 0 MiB
2023/04/30 03:05:33.296, 33.94 W, 26, 3 MiB
2023/04/30 03:05:34.302, 31.95 W, 25, 3 MiB
2023/04/30 03:05:35.308, 34.62 W, 26, 513 MiB
2023/04/30 03:05:36.314, 34.62 W, 26, 609 MiB
2023/04/30 03:05:37.317, 34.03 W, 26, 741 MiB
2023/04/30 03:05:38.321, 33.84 W, 26, 903 MiB
2023/04/30 03:05:39.324, 33.94 W, 26, 977 MiB
2023/04/30 03:05:40.327, 34.13 W, 26, 1033 MiB
2023/04/30 03:05:41.331, 34.03 W, 26, 1097 MiB
2023/04/30 03:05:42.335, 34.23 W, 26, 1225 MiB
2023/04/30 03:05:43.338, 33.84 W, 25, 1481 MiB
2023/04/30 03:05:44.342, 34.03 W, 26, 1481 MiB
2023/04/30 03:05:45.345, 34.42 W, 25, 1749 MiB
2023/04/30 03:05:46.351, 34.42 W, 26, 2261 MiB
2023/04/30 03:05:47.357, 34.23 W, 25, 2261 MiB
2023/04/30 03:05:48.363, 34.52 W, 26, 3285 MiB
2023/04/30 03:05:49.370, 34.13 W, 26, 3285 MiB
2023/04/30 03:05:50.376, 35.61 W, 26, 3285 MiB
2023/04/30 03:05:51.381, 34.32 W, 26, 3285 MiB
2023/04/30 03:05:52.388, 34.52 W, 26, 3285 MiB
2023/04/30 03:05:53.394, 34.42 W, 26, 3285 MiB
2023/04/30 03:05:54.399, 34.52 W, 26, 3285 MiB
2023/04/30 03:05:55.405, 34.32 W, 25, 3285 MiB
2023/04/30 03:05:56.409, 34.71 W, 26, 3285 MiB
