timestamp, power.draw [W], temperature.gpu, memory.used [MiB]
2023/04/30 21:43:22.058, 34.32 W, 26, 0 MiB
2023/04/30 21:43:23.062, 34.23 W, 26, 0 MiB
2023/04/30 21:43:24.066, 34.23 W, 26, 0 MiB
2023/04/30 21:43:25.069, 34.23 W, 26, 0 MiB
2023/04/30 21:43:26.072, 34.13 W, 26, 0 MiB
2023/04/30 21:43:27.077, 34.13 W, 26, 0 MiB
2023/04/30 21:43:28.082, 34.23 W, 25, 0 MiB
2023/04/30 21:43:29.088, 34.13 W, 25, 0 MiB
2023/04/30 21:43:30.093, 34.13 W, 25, 0 MiB
2023/04/30 21:43:31.099, 34.03 W, 25, 0 MiB
2023/04/30 21:43:32.104, 34.13 W, 25, 0 MiB
2023/04/30 21:43:33.110, 32.05 W, 25, 0 MiB
2023/04/30 21:43:34.115, 32.15 W, 25, 0 MiB
2023/04/30 21:43:35.119, 32.05 W, 25, 0 MiB
2023/04/30 21:43:36.123, 32.05 W, 25, 0 MiB
2023/04/30 21:43:37.127, 32.05 W, 25, 0 MiB
2023/04/30 21:43:38.130, 32.15 W, 25, 0 MiB
2023/04/30 21:43:39.134, 32.05 W, 25, 0 MiB
2023/04/30 21:43:40.139, 32.05 W, 25, 0 MiB
2023/04/30 21:43:41.142, 32.15 W, 25, 0 MiB
2023/04/30 21:43:42.146, 32.15 W, 25, 0 MiB
2023/04/30 21:43:43.150, 32.15 W, 25, 0 MiB
2023/04/30 21:43:44.154, 32.15 W, 25, 0 MiB
2023/04/30 21:43:45.157, 33.53 W, 25, 3 MiB
2023/04/30 21:43:46.162, 35.23 W, 25, 507 MiB
2023/04/30 21:43:47.165, 35.20 W, 25, 557 MiB
2023/04/30 21:43:48.168, 33.94 W, 25, 591 MiB
2023/04/30 21:43:49.172, 34.13 W, 25, 621 MiB
2023/04/30 21:43:50.175, 33.94 W, 25, 665 MiB
2023/04/30 21:43:51.179, 33.84 W, 25, 725 MiB
2023/04/30 21:43:52.182, 33.94 W, 25, 747 MiB
2023/04/30 21:43:53.186, 33.84 W, 25, 807 MiB
2023/04/30 21:43:54.192, 33.84 W, 25, 847 MiB
2023/04/30 21:43:55.198, 33.94 W, 25, 913 MiB
2023/04/30 21:43:56.202, 34.03 W, 25, 947 MiB
2023/04/30 21:43:57.205, 34.13 W, 25, 973 MiB
2023/04/30 21:43:58.209, 34.13 W, 25, 1001 MiB
2023/04/30 21:43:59.212, 34.03 W, 25, 1097 MiB
2023/04/30 21:44:00.216, 34.23 W, 25, 1225 MiB
2023/04/30 21:44:01.221, 34.03 W, 25, 1481 MiB
2023/04/30 21:44:02.224, 33.94 W, 25, 1481 MiB
2023/04/30 21:44:03.228, 34.23 W, 25, 1667 MiB
2023/04/30 21:44:04.234, 33.94 W, 25, 2261 MiB
2023/04/30 21:44:05.240, 36.41 W, 25, 2261 MiB
2023/04/30 21:44:06.245, 34.52 W, 25, 3285 MiB
2023/04/30 21:44:07.251, 34.81 W, 25, 3285 MiB
2023/04/30 21:44:08.257, 34.13 W, 25, 3285 MiB
2023/04/30 21:44:09.260, 35.51 W, 25, 3285 MiB
2023/04/30 21:44:10.264, 34.41 W, 25, 3285 MiB
2023/04/30 21:44:11.268, 34.81 W, 25, 3285 MiB
2023/04/30 21:44:12.271, 34.32 W, 25, 3285 MiB
2023/04/30 21:44:13.275, 34.42 W, 25, 3285 MiB
2023/04/30 21:44:14.279, 35.43 W, 25, 3285 MiB
2023/04/30 21:44:15.282, 34.42 W, 25, 3285 MiB
2023/04/30 21:44:16.288, 35.02 W, 25, 3285 MiB
2023/04/30 21:44:17.294, 34.52 W, 25, 3285 MiB
2023/04/30 21:44:18.301, 34.62 W, 25, 3285 MiB
2023/04/30 21:44:19.307, 34.62 W, 25, 3285 MiB
2023/04/30 21:44:20.313, 34.52 W, 25, 3285 MiB
2023/04/30 21:44:21.319, 34.62 W, 25, 3285 MiB
2023/04/30 21:44:22.323, 34.52 W, 25, 3285 MiB
2023/04/30 21:44:23.326, 34.52 W, 25, 3285 MiB
2023/04/30 21:44:24.330, 35.21 W, 25, 3285 MiB
2023/04/30 21:44:25.333, 34.12 W, 25, 3285 MiB
2023/04/30 21:44:26.337, 34.82 W, 25, 3285 MiB
2023/04/30 21:44:27.341, 34.23 W, 25, 3285 MiB
2023/04/30 21:44:28.344, 34.23 W, 25, 3285 MiB
2023/04/30 21:44:29.348, 35.62 W, 25, 3285 MiB
2023/04/30 21:44:30.352, 34.43 W, 25, 3285 MiB
2023/04/30 21:44:31.358, 34.73 W, 25, 3285 MiB
2023/04/30 21:44:32.365, 34.52 W, 25, 3285 MiB
2023/04/30 21:44:33.370, 33.94 W, 25, 3285 MiB
2023/04/30 21:44:34.375, 34.91 W, 25, 3285 MiB
2023/04/30 21:44:35.380, 34.13 W, 25, 3285 MiB
2023/04/30 21:44:36.386, 34.52 W, 25, 3285 MiB
2023/04/30 21:44:37.391, 33.94 W, 25, 3285 MiB
2023/04/30 21:44:38.397, 34.32 W, 25, 3285 MiB
2023/04/30 21:44:39.402, 34.71 W, 25, 3285 MiB
2023/04/30 21:44:40.407, 33.94 W, 25, 3285 MiB
2023/04/30 21:44:41.413, 35.21 W, 25, 3285 MiB
2023/04/30 21:44:42.418, 34.33 W, 25, 3285 MiB
2023/04/30 21:44:43.425, 34.82 W, 25, 3285 MiB
2023/04/30 21:44:44.430, 34.23 W, 25, 3285 MiB
2023/04/30 21:44:45.435, 34.33 W, 25, 3285 MiB
2023/04/30 21:44:46.439, 34.52 W, 25, 3285 MiB
2023/04/30 21:44:47.442, 34.13 W, 25, 3285 MiB
2023/04/30 21:44:48.446, 35.42 W, 25, 3285 MiB
2023/04/30 21:44:49.450, 34.13 W, 25, 3285 MiB
2023/04/30 21:44:50.453, 34.62 W, 25, 3285 MiB
2023/04/30 21:44:51.457, 34.32 W, 25, 3285 MiB
2023/04/30 21:44:52.460, 34.52 W, 25, 3285 MiB
2023/04/30 21:44:53.464, 35.02 W, 25, 3285 MiB
2023/04/30 21:44:54.470, 34.03 W, 25, 3285 MiB
2023/04/30 21:44:55.473, 36.00 W, 25, 3285 MiB
2023/04/30 21:44:56.477, 34.32 W, 25, 3285 MiB
2023/04/30 21:44:57.481, 34.43 W, 25, 3285 MiB
2023/04/30 21:44:58.484, 34.33 W, 25, 3285 MiB
2023/04/30 21:44:59.488, 34.52 W, 25, 3285 MiB
2023/04/30 21:45:00.492, 34.91 W, 25, 3285 MiB
2023/04/30 21:45:01.495, 34.13 W, 25, 3285 MiB
2023/04/30 21:45:02.500, 35.22 W, 25, 3285 MiB
2023/04/30 21:45:03.503, 34.32 W, 25, 3285 MiB
2023/04/30 21:45:04.507, 34.52 W, 25, 3285 MiB
2023/04/30 21:45:05.511, 34.62 W, 25, 3285 MiB
2023/04/30 21:45:06.514, 34.52 W, 25, 3285 MiB
2023/04/30 21:45:07.518, 34.52 W, 25, 3285 MiB
2023/04/30 21:45:08.521, 34.32 W, 25, 3285 MiB
2023/04/30 21:45:09.525, 35.02 W, 25, 3285 MiB
2023/04/30 21:45:10.529, 34.52 W, 25, 3285 MiB
2023/04/30 21:45:11.536, 34.43 W, 25, 3285 MiB
2023/04/30 21:45:12.542, 34.62 W, 25, 3285 MiB
2023/04/30 21:45:13.548, 34.04 W, 25, 3285 MiB
2023/04/30 21:45:14.554, 35.02 W, 25, 3285 MiB
2023/04/30 21:45:15.560, 34.23 W, 25, 3285 MiB
2023/04/30 21:45:16.567, 35.12 W, 25, 3285 MiB
2023/04/30 21:45:17.573, 34.42 W, 25, 3285 MiB
2023/04/30 21:45:18.579, 34.71 W, 25, 3285 MiB
2023/04/30 21:45:19.585, 34.71 W, 25, 3285 MiB
2023/04/30 21:45:20.591, 34.04 W, 25, 3285 MiB
2023/04/30 21:45:21.597, 35.62 W, 25, 3285 MiB
2023/04/30 21:45:22.602, 34.32 W, 25, 3285 MiB
2023/04/30 21:45:23.608, 34.91 W, 25, 3285 MiB
2023/04/30 21:45:24.614, 34.42 W, 25, 3285 MiB
2023/04/30 21:45:25.620, 34.52 W, 25, 3285 MiB
2023/04/30 21:45:26.626, 34.62 W, 25, 3285 MiB
2023/04/30 21:45:27.632, 34.13 W, 25, 3285 MiB
2023/04/30 21:45:28.638, 35.22 W, 25, 3285 MiB
2023/04/30 21:45:29.645, 34.13 W, 25, 3285 MiB
2023/04/30 21:45:30.651, 35.12 W, 25, 3285 MiB
2023/04/30 21:45:31.656, 34.23 W, 25, 3285 MiB
2023/04/30 21:45:32.662, 34.42 W, 25, 3285 MiB
2023/04/30 21:45:33.668, 34.13 W, 25, 3285 MiB
2023/04/30 21:45:34.672, 34.52 W, 25, 3285 MiB
2023/04/30 21:45:35.677, 34.23 W, 25, 3285 MiB
2023/04/30 21:45:36.684, 34.04 W, 25, 3285 MiB
2023/04/30 21:45:37.689, 35.12 W, 25, 3285 MiB
2023/04/30 21:45:38.695, 34.32 W, 25, 3285 MiB
2023/04/30 21:45:39.702, 35.02 W, 25, 3285 MiB
2023/04/30 21:45:40.708, 34.52 W, 25, 3285 MiB
2023/04/30 21:45:41.714, 34.62 W, 25, 3285 MiB
2023/04/30 21:45:42.720, 34.32 W, 25, 3285 MiB
2023/04/30 21:45:43.725, 33.94 W, 25, 3285 MiB
2023/04/30 21:45:44.731, 34.32 W, 25, 3285 MiB
2023/04/30 21:45:45.737, 34.23 W, 25, 3285 MiB
2023/04/30 21:45:46.743, 34.52 W, 25, 3285 MiB
2023/04/30 21:45:47.749, 34.03 W, 25, 3285 MiB
2023/04/30 21:45:48.756, 34.03 W, 25, 3285 MiB
2023/04/30 21:45:49.761, 35.91 W, 25, 3285 MiB
2023/04/30 21:45:50.767, 34.33 W, 25, 3285 MiB
2023/04/30 21:45:51.773, 34.52 W, 25, 3285 MiB
2023/04/30 21:45:52.779, 34.74 W, 25, 3285 MiB
2023/04/30 21:45:53.785, 34.03 W, 25, 3285 MiB
2023/04/30 21:45:54.792, 35.02 W, 25, 3285 MiB
2023/04/30 21:45:55.798, 34.52 W, 25, 3285 MiB
2023/04/30 21:45:56.805, 34.52 W, 25, 3285 MiB
2023/04/30 21:45:57.810, 34.62 W, 25, 3285 MiB
2023/04/30 21:45:58.817, 34.23 W, 25, 3285 MiB
2023/04/30 21:45:59.823, 34.62 W, 25, 3285 MiB
2023/04/30 21:46:00.828, 34.23 W, 25, 3285 MiB
2023/04/30 21:46:01.832, 34.52 W, 25, 3285 MiB
2023/04/30 21:46:02.836, 35.61 W, 25, 3285 MiB
2023/04/30 21:46:03.840, 34.33 W, 25, 3285 MiB
2023/04/30 21:46:04.843, 34.52 W, 25, 3285 MiB
2023/04/30 21:46:05.847, 34.42 W, 25, 3285 MiB
2023/04/30 21:46:06.851, 34.52 W, 25, 3285 MiB
2023/04/30 21:46:07.854, 36.20 W, 25, 3285 MiB
2023/04/30 21:46:08.858, 34.52 W, 25, 3285 MiB
2023/04/30 21:46:09.863, 34.71 W, 25, 3285 MiB
2023/04/30 21:46:10.869, 34.42 W, 25, 3285 MiB
2023/04/30 21:46:11.875, 34.13 W, 25, 3285 MiB
2023/04/30 21:46:12.881, 34.32 W, 25, 3285 MiB
2023/04/30 21:46:13.887, 34.42 W, 25, 3285 MiB
2023/04/30 21:46:14.892, 34.71 W, 25, 3285 MiB
2023/04/30 21:46:15.897, 34.52 W, 25, 3285 MiB
2023/04/30 21:46:16.903, 34.13 W, 25, 3285 MiB
2023/04/30 21:46:17.909, 35.51 W, 25, 3285 MiB
2023/04/30 21:46:18.916, 34.32 W, 25, 3285 MiB
2023/04/30 21:46:19.922, 34.52 W, 25, 3285 MiB
2023/04/30 21:46:20.928, 34.82 W, 25, 3285 MiB
2023/04/30 21:46:21.933, 34.13 W, 25, 3285 MiB
2023/04/30 21:46:22.939, 35.81 W, 25, 3285 MiB
2023/04/30 21:46:23.943, 34.23 W, 25, 3285 MiB
2023/04/30 21:46:24.947, 34.62 W, 25, 3285 MiB
2023/04/30 21:46:25.950, 35.31 W, 25, 3285 MiB
2023/04/30 21:46:26.954, 34.13 W, 25, 3285 MiB
2023/04/30 21:46:27.958, 35.31 W, 25, 3285 MiB
2023/04/30 21:46:28.962, 34.52 W, 25, 3285 MiB
2023/04/30 21:46:29.965, 34.62 W, 25, 3285 MiB
2023/04/30 21:46:30.971, 34.42 W, 25, 3285 MiB
2023/04/30 21:46:31.976, 34.63 W, 25, 3285 MiB
2023/04/30 21:46:32.982, 34.81 W, 25, 3285 MiB
2023/04/30 21:46:33.985, 34.52 W, 25, 3285 MiB
2023/04/30 21:46:34.989, 34.82 W, 25, 3285 MiB
2023/04/30 21:46:35.993, 34.42 W, 25, 3285 MiB
2023/04/30 21:46:36.997, 34.42 W, 25, 3285 MiB
2023/04/30 21:46:38.000, 34.32 W, 25, 3285 MiB
2023/04/30 21:46:39.004, 34.33 W, 25, 3285 MiB
2023/04/30 21:46:40.008, 35.23 W, 25, 3285 MiB
2023/04/30 21:46:41.011, 34.32 W, 25, 3285 MiB
2023/04/30 21:46:42.015, 34.62 W, 25, 3285 MiB
2023/04/30 21:46:43.021, 35.02 W, 25, 3285 MiB
2023/04/30 21:46:44.027, 34.42 W, 25, 3285 MiB
2023/04/30 21:46:45.033, 34.61 W, 25, 3285 MiB
2023/04/30 21:46:46.038, 34.42 W, 25, 3285 MiB
2023/04/30 21:46:47.045, 34.52 W, 25, 3285 MiB
2023/04/30 21:46:48.051, 36.29 W, 25, 3285 MiB
2023/04/30 21:46:49.056, 34.23 W, 25, 3285 MiB
2023/04/30 21:46:50.062, 34.62 W, 25, 3285 MiB
2023/04/30 21:46:51.068, 34.32 W, 25, 3285 MiB
2023/04/30 21:46:52.073, 34.03 W, 25, 3285 MiB
2023/04/30 21:46:53.080, 34.73 W, 25, 3285 MiB
2023/04/30 21:46:54.086, 34.23 W, 25, 3285 MiB
2023/04/30 21:46:55.091, 34.33 W, 25, 3285 MiB
2023/04/30 21:46:56.097, 34.52 W, 25, 3285 MiB
2023/04/30 21:46:57.103, 34.23 W, 25, 3285 MiB
2023/04/30 21:46:58.109, 35.32 W, 25, 3285 MiB
2023/04/30 21:46:59.115, 34.42 W, 25, 3285 MiB
2023/04/30 21:47:00.120, 34.71 W, 25, 3285 MiB
2023/04/30 21:47:01.127, 34.32 W, 25, 3285 MiB
2023/04/30 21:47:02.133, 33.94 W, 25, 3285 MiB
2023/04/30 21:47:03.139, 35.41 W, 25, 3285 MiB
2023/04/30 21:47:04.145, 34.23 W, 25, 3285 MiB
2023/04/30 21:47:05.151, 34.62 W, 25, 3285 MiB
2023/04/30 21:47:06.156, 34.23 W, 25, 3285 MiB
2023/04/30 21:47:07.162, 34.04 W, 25, 3285 MiB
2023/04/30 21:47:08.166, 35.21 W, 25, 3285 MiB
2023/04/30 21:47:09.170, 34.52 W, 25, 3285 MiB
2023/04/30 21:47:10.173, 34.71 W, 25, 3285 MiB
2023/04/30 21:47:11.177, 34.71 W, 25, 3285 MiB
2023/04/30 21:47:12.181, 34.32 W, 25, 3285 MiB
2023/04/30 21:47:13.184, 34.81 W, 25, 3285 MiB
2023/04/30 21:47:14.189, 34.52 W, 25, 3285 MiB
2023/04/30 21:47:15.195, 34.61 W, 25, 3285 MiB
2023/04/30 21:47:16.201, 34.52 W, 25, 3285 MiB
2023/04/30 21:47:17.207, 34.62 W, 25, 3285 MiB
2023/04/30 21:47:18.213, 34.62 W, 25, 3285 MiB
2023/04/30 21:47:19.220, 34.42 W, 25, 3285 MiB
2023/04/30 21:47:20.226, 34.13 W, 25, 3285 MiB
2023/04/30 21:47:21.232, 34.32 W, 25, 3285 MiB
2023/04/30 21:47:22.238, 34.82 W, 25, 3285 MiB
2023/04/30 21:47:23.244, 34.71 W, 25, 3285 MiB
2023/04/30 21:47:24.250, 34.52 W, 25, 3285 MiB
2023/04/30 21:47:25.256, 34.52 W, 25, 3285 MiB
2023/04/30 21:47:26.262, 34.42 W, 25, 3285 MiB
2023/04/30 21:47:27.269, 34.71 W, 25, 3285 MiB
2023/04/30 21:47:28.275, 34.32 W, 25, 3285 MiB
2023/04/30 21:47:29.281, 34.33 W, 25, 3285 MiB
2023/04/30 21:47:30.287, 34.52 W, 25, 3285 MiB
2023/04/30 21:47:31.293, 34.42 W, 25, 3285 MiB
2023/04/30 21:47:32.300, 34.13 W, 25, 3285 MiB
2023/04/30 21:47:33.306, 35.90 W, 25, 3285 MiB
2023/04/30 21:47:34.312, 34.43 W, 25, 3285 MiB
2023/04/30 21:47:35.317, 34.62 W, 25, 3285 MiB
2023/04/30 21:47:36.323, 34.82 W, 25, 3285 MiB
2023/04/30 21:47:37.330, 34.62 W, 25, 3285 MiB
2023/04/30 21:47:38.336, 34.82 W, 25, 3285 MiB
2023/04/30 21:47:39.341, 34.52 W, 25, 3285 MiB
2023/04/30 21:47:40.348, 34.42 W, 25, 3285 MiB
2023/04/30 21:47:41.353, 35.31 W, 25, 3285 MiB
2023/04/30 21:47:42.359, 34.33 W, 25, 3285 MiB
2023/04/30 21:47:43.365, 34.71 W, 25, 3285 MiB
2023/04/30 21:47:44.371, 34.62 W, 25, 3285 MiB
2023/04/30 21:47:45.377, 33.84 W, 25, 3285 MiB
2023/04/30 21:47:46.382, 35.52 W, 25, 3285 MiB
2023/04/30 21:47:47.388, 34.42 W, 25, 3285 MiB
2023/04/30 21:47:48.394, 34.71 W, 25, 3285 MiB
2023/04/30 21:47:49.400, 33.94 W, 25, 3285 MiB
2023/04/30 21:47:50.406, 34.03 W, 25, 3285 MiB
2023/04/30 21:47:51.411, 35.41 W, 25, 3285 MiB
2023/04/30 21:47:52.416, 34.23 W, 25, 3285 MiB
2023/04/30 21:47:53.419, 34.52 W, 25, 3285 MiB
2023/04/30 21:47:54.423, 34.42 W, 25, 3285 MiB
2023/04/30 21:47:55.427, 34.42 W, 25, 3285 MiB
2023/04/30 21:47:56.431, 34.62 W, 25, 3285 MiB
2023/04/30 21:47:57.434, 34.13 W, 25, 3285 MiB
2023/04/30 21:47:58.438, 34.52 W, 25, 3285 MiB
2023/04/30 21:47:59.441, 33.94 W, 25, 3285 MiB
2023/04/30 21:48:00.446, 34.32 W, 25, 3285 MiB
2023/04/30 21:48:01.451, 34.32 W, 25, 3285 MiB
2023/04/30 21:48:02.457, 35.31 W, 25, 3285 MiB
2023/04/30 21:48:03.460, 34.52 W, 25, 3285 MiB
2023/04/30 21:48:04.465, 34.41 W, 25, 3285 MiB
2023/04/30 21:48:05.470, 34.23 W, 25, 3285 MiB
2023/04/30 21:48:06.473, 34.71 W, 25, 3285 MiB
2023/04/30 21:48:07.477, 34.62 W, 25, 3285 MiB
2023/04/30 21:48:08.481, 33.94 W, 25, 3285 MiB
2023/04/30 21:48:09.485, 34.62 W, 25, 3285 MiB
2023/04/30 21:48:10.488, 33.94 W, 25, 3285 MiB
2023/04/30 21:48:11.492, 35.21 W, 25, 3285 MiB
2023/04/30 21:48:12.498, 34.13 W, 25, 3285 MiB
2023/04/30 21:48:13.504, 34.82 W, 25, 3285 MiB
2023/04/30 21:48:14.510, 34.23 W, 25, 3285 MiB
2023/04/30 21:48:15.516, 34.62 W, 25, 3285 MiB
2023/04/30 21:48:16.523, 34.42 W, 25, 3285 MiB
2023/04/30 21:48:17.529, 34.42 W, 25, 3285 MiB
2023/04/30 21:48:18.535, 34.42 W, 25, 3285 MiB
2023/04/30 21:48:19.542, 34.52 W, 25, 3285 MiB
2023/04/30 21:48:20.548, 34.32 W, 25, 3285 MiB
2023/04/30 21:48:21.554, 34.71 W, 25, 3285 MiB
2023/04/30 21:48:22.561, 34.12 W, 25, 3285 MiB
2023/04/30 21:48:23.567, 34.24 W, 25, 3285 MiB
2023/04/30 21:48:24.572, 34.52 W, 25, 3285 MiB
2023/04/30 21:48:25.578, 34.03 W, 25, 3285 MiB
2023/04/30 21:48:26.585, 35.32 W, 25, 3285 MiB
2023/04/30 21:48:27.591, 34.52 W, 25, 3285 MiB
2023/04/30 21:48:28.597, 35.13 W, 25, 3285 MiB
2023/04/30 21:48:29.603, 34.42 W, 25, 3285 MiB
2023/04/30 21:48:30.609, 34.52 W, 25, 3285 MiB
2023/04/30 21:48:31.615, 34.71 W, 25, 3285 MiB
2023/04/30 21:48:32.619, 34.71 W, 25, 3285 MiB
2023/04/30 21:48:33.622, 34.32 W, 25, 3285 MiB
2023/04/30 21:48:34.626, 34.03 W, 25, 3285 MiB
2023/04/30 21:48:35.630, 34.73 W, 25, 3285 MiB
2023/04/30 21:48:36.634, 34.52 W, 25, 3285 MiB
2023/04/30 21:48:37.637, 35.02 W, 25, 3285 MiB
2023/04/30 21:48:38.641, 34.32 W, 25, 3285 MiB
2023/04/30 21:48:39.645, 34.63 W, 25, 3285 MiB
2023/04/30 21:48:40.651, 34.43 W, 25, 3285 MiB
2023/04/30 21:48:41.654, 34.33 W, 25, 3285 MiB
2023/04/30 21:48:42.658, 34.42 W, 25, 3285 MiB
2023/04/30 21:48:43.662, 34.33 W, 25, 3285 MiB
2023/04/30 21:48:44.665, 34.81 W, 25, 3285 MiB
2023/04/30 21:48:45.669, 34.32 W, 25, 3285 MiB
2023/04/30 21:48:46.673, 35.42 W, 25, 3285 MiB
2023/04/30 21:48:47.676, 34.33 W, 25, 3285 MiB
2023/04/30 21:48:48.681, 34.52 W, 25, 3285 MiB
2023/04/30 21:48:49.687, 34.52 W, 25, 3285 MiB
2023/04/30 21:48:50.693, 34.13 W, 25, 3285 MiB
2023/04/30 21:48:51.699, 35.12 W, 25, 3285 MiB
2023/04/30 21:48:52.705, 34.13 W, 25, 3285 MiB
2023/04/30 21:48:53.711, 35.23 W, 25, 3285 MiB
2023/04/30 21:48:54.717, 34.03 W, 25, 3285 MiB
2023/04/30 21:48:55.723, 34.43 W, 25, 3285 MiB
2023/04/30 21:48:56.729, 34.42 W, 25, 3285 MiB
2023/04/30 21:48:57.735, 34.32 W, 25, 3285 MiB
