timestamp, power.draw [W], temperature.gpu, memory.used [MiB]
2023/04/30 16:07:30.861, 34.13 W, 26, 0 MiB
2023/04/30 16:07:31.865, 34.03 W, 26, 0 MiB
2023/04/30 16:07:32.868, 34.13 W, 26, 0 MiB
2023/04/30 16:07:33.871, 34.13 W, 26, 0 MiB
2023/04/30 16:07:34.875, 34.23 W, 26, 0 MiB
2023/04/30 16:07:35.881, 34.13 W, 26, 0 MiB
2023/04/30 16:07:36.886, 34.23 W, 26, 0 MiB
2023/04/30 16:07:37.892, 34.03 W, 26, 0 MiB
2023/04/30 16:07:38.897, 34.23 W, 26, 0 MiB
2023/04/30 16:07:39.903, 34.13 W, 25, 0 MiB
2023/04/30 16:07:40.909, 34.03 W, 25, 0 MiB
2023/04/30 16:07:41.914, 32.17 W, 25, 0 MiB
2023/04/30 16:07:42.919, 32.06 W, 25, 0 MiB
2023/04/30 16:07:43.923, 32.15 W, 25, 3 MiB
2023/04/30 16:07:44.929, 31.96 W, 25, 3 MiB
2023/04/30 16:07:45.932, 34.23 W, 25, 497 MiB
2023/04/30 16:07:46.937, 33.94 W, 25, 569 MiB
2023/04/30 16:07:47.940, 33.94 W, 25, 613 MiB
2023/04/30 16:07:48.944, 33.94 W, 25, 683 MiB
2023/04/30 16:07:49.947, 33.94 W, 25, 747 MiB
2023/04/30 16:07:50.951, 34.03 W, 25, 825 MiB
2023/04/30 16:07:51.954, 33.94 W, 25, 923 MiB
2023/04/30 16:07:52.958, 33.94 W, 25, 977 MiB
2023/04/30 16:07:53.962, 34.03 W, 25, 1225 MiB
2023/04/30 16:07:54.969, 34.13 W, 25, 1375 MiB
2023/04/30 16:07:55.974, 34.42 W, 25, 1749 MiB
2023/04/30 16:07:56.981, 34.13 W, 25, 2261 MiB
2023/04/30 16:07:57.987, 34.23 W, 25, 2261 MiB
2023/04/30 16:07:58.993, 34.03 W, 25, 2261 MiB
2023/04/30 16:08:00.000, 34.13 W, 25, 2261 MiB
2023/04/30 16:08:01.005, 34.32 W, 25, 2261 MiB
2023/04/30 16:08:02.011, 34.62 W, 25, 2261 MiB
2023/04/30 16:08:03.016, 34.42 W, 25, 2261 MiB
2023/04/30 16:08:04.022, 34.92 W, 25, 2261 MiB
2023/04/30 16:08:05.028, 35.33 W, 25, 2261 MiB
2023/04/30 16:08:06.034, 34.32 W, 25, 2261 MiB
2023/04/30 16:08:07.041, 34.33 W, 25, 2261 MiB
2023/04/30 16:08:08.047, 34.42 W, 25, 2261 MiB
2023/04/30 16:08:09.053, 34.62 W, 25, 2261 MiB
2023/04/30 16:08:10.059, 34.63 W, 25, 2261 MiB
2023/04/30 16:08:11.064, 35.52 W, 25, 2261 MiB
2023/04/30 16:08:12.071, 34.42 W, 25, 2261 MiB
2023/04/30 16:08:13.077, 34.13 W, 25, 2261 MiB
2023/04/30 16:08:14.083, 35.12 W, 25, 2261 MiB
2023/04/30 16:08:15.089, 34.81 W, 25, 2261 MiB
2023/04/30 16:08:16.094, 34.32 W, 25, 2261 MiB
2023/04/30 16:08:17.101, 34.43 W, 25, 2261 MiB
2023/04/30 16:08:18.107, 34.62 W, 25, 2261 MiB
2023/04/30 16:08:19.110, 34.52 W, 25, 2261 MiB
2023/04/30 16:08:20.114, 34.42 W, 25, 2261 MiB
2023/04/30 16:08:21.118, 34.42 W, 25, 2261 MiB
2023/04/30 16:08:22.121, 35.52 W, 25, 2261 MiB
2023/04/30 16:08:23.125, 34.03 W, 25, 2261 MiB
2023/04/30 16:08:24.128, 34.13 W, 25, 2261 MiB
2023/04/30 16:08:25.133, 34.52 W, 25, 2261 MiB
2023/04/30 16:08:26.139, 35.91 W, 25, 2261 MiB
2023/04/30 16:08:27.145, 34.33 W, 25, 2261 MiB
2023/04/30 16:08:28.150, 34.04 W, 25, 2261 MiB
2023/04/30 16:08:29.154, 34.52 W, 25, 2261 MiB
2023/04/30 16:08:30.158, 34.92 W, 25, 2261 MiB
2023/04/30 16:08:31.161, 34.03 W, 25, 2261 MiB
2023/04/30 16:08:32.165, 34.13 W, 25, 2261 MiB
2023/04/30 16:08:33.169, 35.21 W, 25, 2261 MiB
2023/04/30 16:08:34.172, 34.13 W, 25, 2261 MiB
2023/04/30 16:08:35.176, 33.95 W, 25, 2261 MiB
2023/04/30 16:08:36.180, 34.92 W, 25, 2261 MiB
2023/04/30 16:08:37.186, 34.52 W, 25, 2261 MiB
2023/04/30 16:08:38.192, 33.94 W, 25, 2261 MiB
2023/04/30 16:08:39.197, 34.03 W, 25, 2261 MiB
2023/04/30 16:08:40.203, 35.01 W, 25, 2261 MiB
2023/04/30 16:08:41.208, 34.52 W, 25, 2261 MiB
2023/04/30 16:08:42.214, 34.03 W, 25, 2261 MiB
2023/04/30 16:08:43.220, 34.82 W, 25, 2261 MiB
2023/04/30 16:08:44.225, 35.12 W, 25, 2261 MiB
2023/04/30 16:08:45.230, 33.94 W, 25, 2261 MiB
2023/04/30 16:08:46.236, 34.23 W, 25, 2261 MiB
2023/04/30 16:08:47.241, 35.51 W, 25, 2261 MiB
2023/04/30 16:08:48.247, 34.62 W, 25, 2261 MiB
2023/04/30 16:08:49.253, 34.32 W, 25, 2261 MiB
2023/04/30 16:08:50.257, 34.81 W, 25, 2261 MiB
2023/04/30 16:08:51.262, 34.92 W, 25, 2261 MiB
