timestamp, power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2023/05/07 18:54:13.520, 37.21 W, 34, 0 MiB, 40 %, 0 %
2023/05/07 18:54:14.526, 37.22 W, 34, 0 MiB, 0 %, 0 %
2023/05/07 18:54:15.531, 37.02 W, 34, 0 MiB, 0 %, 0 %
2023/05/07 18:54:16.535, 37.02 W, 33, 0 MiB, 0 %, 0 %
2023/05/07 18:54:17.539, 36.82 W, 33, 0 MiB, 0 %, 0 %
2023/05/07 18:54:18.545, 36.73 W, 33, 0 MiB, 0 %, 0 %
2023/05/07 18:54:19.550, 36.82 W, 33, 0 MiB, 0 %, 0 %
2023/05/07 18:54:20.554, 37.81 W, 32, 515 MiB, 10 %, 0 %
2023/05/07 18:54:21.558, 38.02 W, 32, 739 MiB, 4 %, 0 %
2023/05/07 18:54:22.563, 36.32 W, 32, 969 MiB, 2 %, 0 %
2023/05/07 18:54:23.569, 36.42 W, 32, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:24.575, 36.32 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:25.582, 36.30 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:26.588, 36.23 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:27.593, 36.03 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:28.599, 35.94 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:29.605, 36.03 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:30.611, 36.04 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:31.617, 35.94 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:32.624, 35.93 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:33.629, 35.93 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:34.636, 36.03 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:35.640, 35.93 W, 29, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:36.645, 35.93 W, 29, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:37.649, 35.93 W, 29, 38007 MiB, 0 %, 0 %
2023/05/07 18:54:38.653, 36.13 W, 29, 38445 MiB, 3 %, 0 %
2023/05/07 18:54:39.658, 35.93 W, 29, 38851 MiB, 4 %, 0 %
2023/05/07 18:54:40.663, 155.66 W, 34, 38907 MiB, 74 %, 12 %
2023/05/07 18:54:41.667, 174.75 W, 36, 38907 MiB, 84 %, 10 %
2023/05/07 18:54:42.672, 160.70 W, 36, 38907 MiB, 83 %, 10 %
2023/05/07 18:54:43.679, 160.40 W, 36, 38907 MiB, 84 %, 10 %
2023/05/07 18:54:44.683, 165.48 W, 37, 38907 MiB, 83 %, 10 %
2023/05/07 18:54:45.687, 172.19 W, 37, 38907 MiB, 83 %, 10 %
2023/05/07 18:54:46.691, 173.90 W, 37, 38907 MiB, 82 %, 9 %
2023/05/07 18:54:47.695, 171.43 W, 38, 38907 MiB, 82 %, 10 %
2023/05/07 18:54:48.700, 160.09 W, 38, 38907 MiB, 83 %, 10 %
2023/05/07 18:54:49.704, 178.66 W, 38, 38907 MiB, 83 %, 10 %
2023/05/07 18:54:50.710, 160.80 W, 38, 38907 MiB, 84 %, 10 %
2023/05/07 18:54:51.716, 175.19 W, 39, 38907 MiB, 83 %, 10 %
2023/05/07 18:54:52.723, 169.40 W, 37, 38907 MiB, 84 %, 10 %
2023/05/07 18:54:53.730, 55.95 W, 33, 38907 MiB, 0 %, 0 %
2023/05/07 18:54:54.736, 36.62 W, 32, 38907 MiB, 0 %, 0 %
2023/05/07 18:54:55.743, 107.91 W, 35, 38907 MiB, 79 %, 3 %
2023/05/07 18:54:56.749, 109.77 W, 35, 38907 MiB, 79 %, 3 %
2023/05/07 18:54:57.753, 183.61 W, 38, 38907 MiB, 72 %, 10 %
2023/05/07 18:54:58.757, 161.97 W, 38, 38907 MiB, 84 %, 10 %
2023/05/07 18:54:59.762, 158.34 W, 38, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:00.766, 172.06 W, 39, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:01.770, 158.92 W, 39, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:02.774, 183.63 W, 39, 38907 MiB, 82 %, 9 %
2023/05/07 18:55:03.780, 161.81 W, 39, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:04.784, 152.65 W, 39, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:05.788, 175.09 W, 40, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:06.792, 161.26 W, 40, 38907 MiB, 82 %, 10 %
2023/05/07 18:55:07.796, 180.25 W, 40, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:08.801, 158.04 W, 40, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:09.806, 90.13 W, 38, 38907 MiB, 79 %, 9 %
2023/05/07 18:55:10.809, 109.47 W, 37, 38907 MiB, 79 %, 3 %
2023/05/07 18:55:11.813, 58.54 W, 36, 38907 MiB, 60 %, 2 %
2023/05/07 18:55:12.817, 162.51 W, 40, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:13.822, 177.15 W, 40, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:14.826, 171.04 W, 40, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:15.830, 180.15 W, 41, 38907 MiB, 83 %, 9 %
2023/05/07 18:55:16.834, 174.58 W, 41, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:17.840, 160.50 W, 41, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:18.847, 188.88 W, 41, 38907 MiB, 82 %, 9 %
2023/05/07 18:55:19.851, 164.41 W, 41, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:20.855, 176.27 W, 41, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:21.859, 172.08 W, 41, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:22.863, 181.67 W, 41, 38907 MiB, 83 %, 9 %
2023/05/07 18:55:23.867, 174.89 W, 41, 38907 MiB, 82 %, 10 %
2023/05/07 18:55:24.872, 116.04 W, 39, 38907 MiB, 79 %, 3 %
2023/05/07 18:55:25.876, 111.80 W, 38, 38907 MiB, 80 %, 3 %
2023/05/07 18:55:26.880, 185.64 W, 41, 38907 MiB, 82 %, 10 %
2023/05/07 18:55:27.886, 167.48 W, 41, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:28.892, 182.85 W, 41, 38907 MiB, 83 %, 9 %
2023/05/07 18:55:29.899, 173.29 W, 41, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:30.905, 161.64 W, 42, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:31.913, 189.77 W, 42, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:32.919, 163.04 W, 42, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:33.926, 181.38 W, 42, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:34.933, 168.41 W, 42, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:35.940, 162.50 W, 42, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:36.944, 169.65 W, 42, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:37.948, 184.03 W, 42, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:38.952, 109.94 W, 39, 38907 MiB, 80 %, 3 %
2023/05/07 18:55:39.956, 112.41 W, 39, 38907 MiB, 80 %, 3 %
2023/05/07 18:55:40.960, 167.87 W, 41, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:41.966, 176.34 W, 42, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:42.973, 162.76 W, 42, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:43.979, 191.96 W, 42, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:44.986, 163.73 W, 42, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:45.990, 182.50 W, 42, 38907 MiB, 82 %, 9 %
2023/05/07 18:55:46.994, 165.37 W, 42, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:47.998, 164.98 W, 42, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:49.003, 146.44 W, 42, 38907 MiB, 81 %, 9 %
2023/05/07 18:55:50.007, 175.52 W, 42, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:51.011, 159.42 W, 42, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:52.017, 189.44 W, 43, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:53.021, 119.67 W, 40, 38907 MiB, 79 %, 3 %
2023/05/07 18:55:54.026, 111.16 W, 39, 38907 MiB, 80 %, 3 %
2023/05/07 18:55:55.030, 160.75 W, 42, 38907 MiB, 79 %, 9 %
2023/05/07 18:55:56.034, 188.62 W, 42, 38907 MiB, 84 %, 10 %
2023/05/07 18:55:57.039, 164.48 W, 42, 38907 MiB, 83 %, 10 %
2023/05/07 18:55:58.043, 171.31 W, 42, 38907 MiB, 84 %, 10 %
