timestamp, power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2023/05/07 16:19:24.628, 37.41 W, 34, 0 MiB, 39 %, 0 %
2023/05/07 16:19:25.634, 37.31 W, 34, 0 MiB, 0 %, 0 %
2023/05/07 16:19:26.638, 37.12 W, 34, 0 MiB, 0 %, 0 %
2023/05/07 16:19:27.642, 37.22 W, 33, 0 MiB, 0 %, 0 %
2023/05/07 16:19:28.647, 36.92 W, 33, 0 MiB, 0 %, 0 %
2023/05/07 16:19:29.652, 37.02 W, 33, 0 MiB, 0 %, 0 %
2023/05/07 16:19:30.658, 36.92 W, 32, 0 MiB, 0 %, 0 %
2023/05/07 16:19:31.664, 40.28 W, 32, 639 MiB, 2 %, 0 %
2023/05/07 16:19:32.668, 39.90 W, 32, 853 MiB, 2 %, 0 %
2023/05/07 16:19:33.672, 36.63 W, 32, 969 MiB, 0 %, 0 %
2023/05/07 16:19:34.677, 36.52 W, 32, 969 MiB, 0 %, 0 %
2023/05/07 16:19:35.681, 36.63 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:36.686, 36.52 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:37.691, 36.42 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:38.695, 36.42 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:39.701, 36.32 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:40.707, 36.32 W, 31, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:41.713, 36.24 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:42.719, 36.13 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:43.726, 36.32 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:44.732, 36.03 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:45.739, 36.03 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:46.745, 36.03 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:47.750, 36.03 W, 30, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:48.754, 36.13 W, 29, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:49.759, 36.12 W, 29, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:50.763, 36.03 W, 29, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:51.769, 35.84 W, 29, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:52.774, 35.92 W, 29, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:53.778, 35.84 W, 29, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:54.782, 36.03 W, 29, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:55.787, 35.74 W, 29, 38007 MiB, 0 %, 0 %
2023/05/07 16:19:56.793, 35.84 W, 29, 38187 MiB, 5 %, 0 %
2023/05/07 16:19:57.799, 35.84 W, 29, 38629 MiB, 3 %, 0 %
2023/05/07 16:19:58.806, 48.83 W, 30, 38907 MiB, 45 %, 6 %
2023/05/07 16:19:59.813, 117.26 W, 33, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:00.817, 142.32 W, 34, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:01.821, 116.19 W, 34, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:02.825, 145.63 W, 34, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:03.829, 145.54 W, 34, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:04.833, 112.04 W, 34, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:05.838, 143.36 W, 34, 38907 MiB, 84 %, 4 %
2023/05/07 16:20:06.845, 139.84 W, 35, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:07.849, 112.13 W, 35, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:08.853, 141.55 W, 35, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:09.857, 129.93 W, 35, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:10.862, 110.96 W, 35, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:11.866, 141.26 W, 35, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:12.871, 117.04 W, 35, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:13.877, 123.73 W, 35, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:14.884, 140.94 W, 35, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:15.891, 114.75 W, 36, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:16.898, 118.90 W, 36, 38907 MiB, 87 %, 4 %
2023/05/07 16:20:17.905, 141.11 W, 36, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:18.911, 113.53 W, 36, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:19.915, 120.10 W, 36, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:20.919, 139.69 W, 36, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:21.923, 111.19 W, 36, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:22.927, 112.54 W, 36, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:23.932, 141.51 W, 36, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:24.936, 115.33 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:25.941, 135.19 W, 37, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:26.948, 139.95 W, 36, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:27.953, 114.30 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:28.960, 139.48 W, 37, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:29.966, 138.45 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:30.972, 112.99 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:31.979, 140.06 W, 37, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:32.985, 142.06 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:33.991, 113.88 W, 37, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:34.997, 142.20 W, 37, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:36.003, 140.08 W, 37, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:37.010, 114.39 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:38.016, 137.88 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:39.023, 138.04 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:40.030, 113.67 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:41.036, 137.99 W, 37, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:42.040, 140.06 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:43.044, 118.86 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:44.048, 114.59 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:45.053, 145.05 W, 37, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:46.057, 134.87 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:47.061, 111.19 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:48.067, 143.18 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:49.073, 140.07 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:50.080, 113.34 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:51.084, 123.15 W, 37, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:52.088, 143.14 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:53.092, 135.54 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:54.096, 111.46 W, 38, 38907 MiB, 87 %, 4 %
2023/05/07 16:20:55.100, 144.55 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:56.104, 141.52 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:57.110, 116.99 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:20:58.117, 115.89 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:20:59.121, 145.79 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:00.125, 137.10 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:01.129, 110.46 W, 38, 38907 MiB, 87 %, 4 %
2023/05/07 16:21:02.134, 145.35 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:03.138, 133.77 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:04.142, 113.70 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:05.147, 140.17 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:06.153, 143.70 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:07.157, 119.24 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:21:08.162, 114.80 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:09.166, 125.25 W, 38, 38907 MiB, 83 %, 4 %
2023/05/07 16:21:10.170, 140.23 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:21:11.174, 139.92 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:12.178, 114.52 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:13.183, 120.28 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:14.189, 145.74 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:21:15.195, 123.55 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:16.203, 112.34 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:17.209, 144.62 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:18.213, 130.62 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:19.217, 113.42 W, 38, 38907 MiB, 87 %, 4 %
2023/05/07 16:21:20.221, 144.17 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:21.225, 136.53 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:21:22.229, 115.93 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:23.233, 115.99 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:21:24.238, 145.05 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:25.244, 127.05 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:26.251, 110.06 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:21:27.259, 146.68 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:28.265, 136.71 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:29.272, 113.25 W, 38, 38907 MiB, 87 %, 4 %
2023/05/07 16:21:30.279, 141.99 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:21:31.282, 143.38 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:32.287, 125.83 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:33.291, 116.05 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:34.295, 144.71 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:21:35.299, 119.34 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:36.303, 111.67 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:21:37.307, 145.69 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:38.313, 135.98 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:39.319, 110.57 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:21:40.325, 145.74 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:41.332, 139.27 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:42.336, 113.13 W, 38, 38907 MiB, 87 %, 4 %
2023/05/07 16:21:43.340, 142.52 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:44.344, 57.05 W, 36, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:45.348, 56.27 W, 35, 38907 MiB, 0 %, 0 %
2023/05/07 16:21:46.352, 36.92 W, 33, 38907 MiB, 0 %, 0 %
2023/05/07 16:21:47.356, 36.82 W, 33, 38907 MiB, 0 %, 0 %
2023/05/07 16:21:48.361, 105.43 W, 35, 38907 MiB, 72 %, 2 %
2023/05/07 16:21:49.366, 106.99 W, 36, 38907 MiB, 74 %, 2 %
2023/05/07 16:21:50.372, 112.58 W, 36, 38907 MiB, 80 %, 2 %
2023/05/07 16:21:51.379, 110.85 W, 36, 38907 MiB, 79 %, 2 %
2023/05/07 16:21:52.383, 144.30 W, 37, 38907 MiB, 78 %, 4 %
2023/05/07 16:21:53.387, 112.95 W, 37, 38907 MiB, 87 %, 4 %
2023/05/07 16:21:54.392, 144.68 W, 37, 38907 MiB, 85 %, 4 %
2023/05/07 16:21:55.396, 112.22 W, 37, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:56.400, 144.63 W, 37, 38907 MiB, 84 %, 4 %
2023/05/07 16:21:57.404, 113.81 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:21:58.410, 145.15 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:21:59.416, 113.49 W, 37, 38907 MiB, 87 %, 4 %
2023/05/07 16:22:00.420, 144.73 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:01.426, 113.97 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:22:02.430, 145.42 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:03.435, 117.20 W, 38, 38907 MiB, 87 %, 4 %
2023/05/07 16:22:04.439, 144.95 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:05.443, 116.23 W, 38, 38907 MiB, 87 %, 4 %
2023/05/07 16:22:06.447, 146.21 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:22:07.454, 117.40 W, 38, 38907 MiB, 87 %, 4 %
2023/05/07 16:22:08.460, 146.03 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:09.467, 113.74 W, 38, 38907 MiB, 87 %, 4 %
2023/05/07 16:22:10.475, 145.79 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:11.481, 118.32 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:22:12.488, 146.63 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:13.495, 123.79 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:22:14.499, 144.60 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:15.503, 127.94 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:22:16.507, 138.90 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:17.511, 123.84 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:22:18.515, 142.70 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:22:19.519, 130.48 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:22:20.524, 140.48 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:21.531, 121.37 W, 38, 38907 MiB, 87 %, 4 %
2023/05/07 16:22:22.538, 141.53 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:23.542, 118.81 W, 38, 38907 MiB, 87 %, 4 %
2023/05/07 16:22:24.546, 139.69 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:25.550, 124.17 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:22:26.554, 127.24 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:22:27.558, 134.75 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:28.562, 114.71 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:29.568, 138.59 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:30.574, 110.99 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:31.578, 140.61 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:32.582, 107.53 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:22:33.586, 142.24 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:34.590, 110.56 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:22:35.594, 143.08 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:36.598, 110.33 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:37.603, 141.80 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:38.610, 112.43 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:39.617, 138.30 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:40.623, 109.96 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:41.627, 140.43 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:42.631, 108.52 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:22:43.635, 141.06 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:44.639, 111.57 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:45.644, 144.57 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:46.648, 113.44 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:22:47.652, 146.24 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:48.656, 113.79 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:49.662, 146.82 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:22:50.668, 112.29 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:22:51.674, 145.89 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:52.681, 128.28 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:22:53.688, 141.70 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:22:54.695, 132.77 W, 38, 38907 MiB, 87 %, 4 %
2023/05/07 16:22:55.699, 129.90 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:22:56.703, 133.39 W, 38, 38907 MiB, 87 %, 4 %
2023/05/07 16:22:57.707, 121.27 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:22:58.711, 141.23 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:22:59.715, 108.19 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:00.723, 137.11 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:01.730, 108.68 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:02.736, 144.15 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:03.743, 113.02 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:04.747, 144.86 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:05.751, 112.92 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:06.756, 146.77 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:07.760, 112.12 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:23:08.764, 147.03 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:23:09.768, 121.94 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:10.773, 139.77 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:11.780, 131.53 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:12.787, 137.61 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:13.791, 126.50 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:14.795, 127.06 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:15.799, 138.67 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:23:16.803, 109.96 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:17.807, 138.93 W, 38, 38907 MiB, 87 %, 4 %
2023/05/07 16:23:18.811, 111.09 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:19.817, 143.32 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:23:20.824, 111.44 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:21.831, 144.40 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:22.835, 114.46 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:23:23.839, 144.65 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:24.843, 113.81 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:25.847, 146.03 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:26.851, 112.13 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:27.855, 145.73 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:28.860, 112.79 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:29.867, 142.15 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:30.871, 126.50 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:31.875, 134.62 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:32.879, 132.45 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:23:33.883, 113.42 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:34.887, 138.90 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:23:35.891, 111.55 W, 38, 38907 MiB, 85 %, 4 %
2023/05/07 16:23:36.898, 141.03 W, 38, 38907 MiB, 86 %, 4 %
2023/05/07 16:23:37.904, 109.90 W, 38, 38907 MiB, 84 %, 4 %
2023/05/07 16:23:38.910, 107.43 W, 38, 38907 MiB, 79 %, 2 %
2023/05/07 16:23:39.916, 114.30 W, 37, 38907 MiB, 80 %, 2 %
