timestamp, power.draw [W], temperature.gpu, memory.used [MiB]
2023/04/30 01:10:42.733, 34.23 W, 26, 0 MiB
2023/04/30 01:10:43.738, 34.24 W, 26, 0 MiB
2023/04/30 01:10:44.744, 34.13 W, 26, 0 MiB
2023/04/30 01:10:45.750, 34.13 W, 26, 0 MiB
2023/04/30 01:10:46.755, 34.03 W, 26, 0 MiB
2023/04/30 01:10:47.761, 34.03 W, 26, 0 MiB
2023/04/30 01:10:48.767, 34.13 W, 26, 0 MiB
2023/04/30 01:10:49.772, 34.23 W, 26, 0 MiB
2023/04/30 01:10:50.778, 34.13 W, 26, 0 MiB
2023/04/30 01:10:51.784, 34.13 W, 26, 0 MiB
2023/04/30 01:10:52.789, 34.13 W, 26, 0 MiB
2023/04/30 01:10:53.793, 32.15 W, 25, 0 MiB
2023/04/30 01:10:54.798, 32.15 W, 25, 0 MiB
2023/04/30 01:10:55.802, 32.15 W, 25, 0 MiB
2023/04/30 01:10:56.805, 32.15 W, 25, 0 MiB
2023/04/30 01:10:57.833, 31.95 W, 25, 3 MiB
2023/04/30 01:10:58.837, 31.97 W, 25, 3 MiB
2023/04/30 01:10:59.840, 35.12 W, 25, 543 MiB
2023/04/30 01:11:00.844, 35.12 W, 25, 625 MiB
2023/04/30 01:11:01.849, 33.94 W, 25, 715 MiB
2023/04/30 01:11:02.856, 34.14 W, 25, 817 MiB
2023/04/30 01:11:03.861, 34.03 W, 25, 911 MiB
2023/04/30 01:11:04.867, 34.13 W, 25, 973 MiB
2023/04/30 01:11:05.872, 34.13 W, 25, 1033 MiB
2023/04/30 01:11:06.878, 34.03 W, 25, 1097 MiB
2023/04/30 01:11:07.884, 34.13 W, 25, 1225 MiB
2023/04/30 01:11:08.890, 34.23 W, 25, 1337 MiB
2023/04/30 01:11:09.898, 34.13 W, 25, 2261 MiB
2023/04/30 01:11:10.903, 35.02 W, 25, 2261 MiB
2023/04/30 01:11:11.909, 34.42 W, 25, 2261 MiB
2023/04/30 01:11:12.916, 34.22 W, 25, 2261 MiB
2023/04/30 01:11:13.923, 34.33 W, 25, 2261 MiB
2023/04/30 01:11:14.929, 35.02 W, 25, 2261 MiB
2023/04/30 01:11:15.934, 34.42 W, 25, 2261 MiB
2023/04/30 01:11:16.941, 34.42 W, 25, 2261 MiB
2023/04/30 01:11:17.947, 34.23 W, 25, 2261 MiB
2023/04/30 01:11:18.953, 34.62 W, 25, 2261 MiB
2023/04/30 01:11:19.959, 35.70 W, 25, 2261 MiB
2023/04/30 01:11:20.965, 34.23 W, 25, 2261 MiB
2023/04/30 01:11:21.971, 34.13 W, 25, 2261 MiB
2023/04/30 01:11:22.977, 34.62 W, 25, 2261 MiB
2023/04/30 01:11:23.983, 35.31 W, 25, 2261 MiB
2023/04/30 01:11:24.989, 34.32 W, 25, 2261 MiB
2023/04/30 01:11:25.996, 34.42 W, 25, 2261 MiB
2023/04/30 01:11:27.002, 34.52 W, 25, 2261 MiB
2023/04/30 01:11:28.007, 35.52 W, 25, 2261 MiB
2023/04/30 01:11:29.015, 34.82 W, 25, 2261 MiB
2023/04/30 01:11:30.021, 34.71 W, 25, 2261 MiB
2023/04/30 01:11:31.030, 34.52 W, 25, 2261 MiB
2023/04/30 01:11:32.037, 34.61 W, 25, 2261 MiB
2023/04/30 01:11:33.044, 34.73 W, 25, 2261 MiB
2023/04/30 01:11:34.047, 34.52 W, 25, 2261 MiB
2023/04/30 01:11:35.055, 34.62 W, 25, 2261 MiB
2023/04/30 01:11:36.059, 34.83 W, 25, 2261 MiB
2023/04/30 01:11:37.064, 34.62 W, 25, 2261 MiB
2023/04/30 01:11:38.069, 34.52 W, 25, 2261 MiB
2023/04/30 01:11:39.075, 34.23 W, 25, 2261 MiB
2023/04/30 01:11:40.082, 34.62 W, 25, 2261 MiB
2023/04/30 01:11:41.088, 35.71 W, 25, 2261 MiB
2023/04/30 01:11:42.092, 34.22 W, 25, 2261 MiB
2023/04/30 01:11:43.096, 34.42 W, 25, 2261 MiB
2023/04/30 01:11:44.102, 34.42 W, 25, 2261 MiB
2023/04/30 01:11:45.107, 35.02 W, 25, 2261 MiB
2023/04/30 01:11:46.112, 34.23 W, 25, 2261 MiB
2023/04/30 01:11:47.116, 34.32 W, 25, 2261 MiB
2023/04/30 01:11:48.120, 34.03 W, 25, 2261 MiB
2023/04/30 01:11:49.124, 34.62 W, 25, 2261 MiB
2023/04/30 01:11:50.127, 35.43 W, 25, 2261 MiB
2023/04/30 01:11:51.131, 34.32 W, 25, 2261 MiB
2023/04/30 01:11:52.135, 33.94 W, 25, 2261 MiB
2023/04/30 01:11:53.139, 34.62 W, 25, 2261 MiB
2023/04/30 01:11:54.144, 34.32 W, 25, 2261 MiB
2023/04/30 01:11:55.149, 34.32 W, 25, 2261 MiB
2023/04/30 01:11:56.155, 34.13 W, 25, 2261 MiB
2023/04/30 01:11:57.161, 34.62 W, 25, 2261 MiB
2023/04/30 01:11:58.167, 35.23 W, 25, 2261 MiB
2023/04/30 01:11:59.172, 34.52 W, 25, 2261 MiB
2023/04/30 01:12:00.178, 33.84 W, 25, 2261 MiB
2023/04/30 01:12:01.184, 34.42 W, 25, 2261 MiB
2023/04/30 01:12:02.188, 35.01 W, 25, 2261 MiB
2023/04/30 01:12:03.194, 34.42 W, 25, 2261 MiB
2023/04/30 01:12:04.200, 34.53 W, 25, 2261 MiB
2023/04/30 01:12:05.206, 34.03 W, 25, 2261 MiB
2023/04/30 01:12:06.212, 34.03 W, 25, 2261 MiB
2023/04/30 01:12:07.217, 34.32 W, 25, 2261 MiB
2023/04/30 01:12:08.222, 34.03 W, 25, 2261 MiB
2023/04/30 01:12:09.228, 34.62 W, 25, 2261 MiB
2023/04/30 01:12:10.233, 35.32 W, 25, 2261 MiB
2023/04/30 01:12:11.239, 34.23 W, 25, 2261 MiB
2023/04/30 01:12:12.246, 34.32 W, 25, 2261 MiB
2023/04/30 01:12:13.254, 34.42 W, 25, 2261 MiB
2023/04/30 01:12:14.260, 34.92 W, 25, 2261 MiB
2023/04/30 01:12:15.267, 34.23 W, 25, 2261 MiB
2023/04/30 01:12:16.272, 34.23 W, 25, 2261 MiB
