epoch;precision;recall;accuracy;f1;timestamp
0;0.3455334812629537;0.3420295759599564;0.341;0.3363503766749645;2023-05-07 18:50:43
1;0.4042312865654337;0.39161559249042144;0.3902;0.38569749441481693;2023-05-07 18:51:06
2;0.4146216674459474;0.3997654272783775;0.399;0.397236081155146;2023-05-07 18:51:28
3;0.44130387207665694;0.4400410017279045;0.4408;0.43616425739378945;2023-05-07 18:51:50
4;0.4406568541588901;0.4435273121413303;0.4436;0.43332298933423585;2023-05-07 18:52:13
5;0.46944201343295655;0.46738894480621307;0.4672;0.4628636484275783;2023-05-07 18:52:35
6;0.4873612553329176;0.475625363805143;0.4758;0.47470994059454596;2023-05-07 18:52:57
7;0.4868503352655392;0.48020708391132805;0.48;0.4794588396828707;2023-05-07 18:53:19
8;0.4769663175505026;0.48084716215417034;0.481;0.47452941844695273;2023-05-07 18:53:41
9;0.5040869385872939;0.4991497825684664;0.4996;0.4992725418518004;2023-05-07 18:54:04
